# Instrumental magnitude: -7.704 mag
# DoPHOT object type: 2
2458206.95348 18.709 0.053    -93.627     54.656 0 1
2458206.96409 18.619 0.051      2.258     56.804 0 1
2458230.90292 18.513 0.029    125.648     35.074 0 1
2458233.80141 18.657 0.047    -38.918     50.943 0 1
2458236.86189 18.492 0.083    152.432    103.811 0 1
2458236.94523 18.672 0.089    -55.187     94.643 0 1
2458244.78002 18.621 0.033      0.029     37.000 0 1
2458247.84179 18.662 0.023    -45.055     24.922 0 1
2458269.79938 18.357 0.067    332.477     95.481 0 1
2458272.88363 18.631 0.044    -11.130     48.606 0 1
2458275.77814 18.661 0.021    -43.451     22.527 0 1
2458278.84161 18.646 0.023    -27.965     25.280 0 1
2458281.76042 18.668 0.026    -51.358     27.234 0 1
2458284.75678 18.617 0.024      4.879     26.684 0 1
2458287.75050 18.702 0.026    -86.375     27.334 0 1
2458290.71485 18.569 0.039     59.496     45.063 0 1
2458296.73017 18.581 0.070     45.104     81.147 0 1
2458300.71422 18.583 0.028     42.552     31.699 0 1
2458303.71456 18.605 0.020     18.299     23.065 0 1
2458306.71795 18.664 0.028    -46.370     29.794 0 1
2458316.67290 18.636 0.048    -16.212     52.408 0 1
2458331.77470 18.616 0.054      5.913     60.524 0 1
2458334.67668 18.619 0.027      2.012     29.910 0 1
2458337.67148 18.639 0.024    -20.039     26.761 0 1
2458345.67833 18.598 0.027     25.921     31.089 0 1
2458494.04549 18.660 0.028    -42.285     30.374 0 1
2458560.98526 18.558 0.038     71.615     44.791 0 1
2458577.96529 18.610 0.031     12.564     34.449 0 1
2458581.96638 18.562 0.027     66.918     32.183 0 1
2458584.95246 18.623 0.027     -2.428     29.398 0 1
2458587.86305 18.673 0.086    -56.523     91.589 0 1
2458591.75788 18.765 0.164   -149.994    159.799 0 1
2458598.01155 18.628 0.070     -8.036     77.569 0 1
2458606.94368 18.624 0.022     -3.155     24.157 0 1
2458617.88440 18.637 0.042    -17.396     46.215 0 1
2458636.77802 18.608 0.021     14.233     23.762 0 1
2458639.75901 18.637 0.024    -17.285     25.790 0 1
2458642.80136 18.666 0.022    -49.490     23.380 0 1
2458646.71043 18.602 0.043     20.824     49.164 0 1
2458651.71726 18.771 0.119   -155.728    115.638 0 1
2458654.77874 18.598 0.046     26.305     52.805 0 1
2458657.71466 18.640 0.025    -20.956     27.221 0 1
2458660.67693 18.667 0.058    -49.826     61.734 0 1
2458665.71496 18.641 0.022    -22.311     23.717 0 1
2458672.69040 18.631 0.028    -11.234     30.648 0 1
2458682.69411 18.644 0.043    -25.622     46.431 0 1
2458685.69258 18.649 0.022    -31.225     23.536 0 1
2458692.71721 18.651 0.027    -32.633     29.209 0 1
2458708.67550 18.571 0.055     56.458     64.278 0 1
2458715.64875 18.631 0.032    -11.558     35.351 0 1
2458718.67285 18.723 0.031   -108.597     31.159 0 1
2458723.64977 18.669 0.037    -52.377     39.125 0 1
2458728.65800 18.646 0.037    -27.458     40.612 0 2
2458729.64551 18.649 0.062    -30.723     67.045 0 2
2458734.66800 18.862 0.090   -240.321     80.123 0 1
2458761.59786 18.510 0.077    130.218     94.746 0 1
2458893.04693 18.601 0.046     22.421     51.657 0 1
2458901.04535 18.659 0.071    -41.594     76.580 0 1
2458913.02569 18.648 0.023    -30.063     24.402 0 1
2458915.98389 18.681 0.046    -64.656     48.582 0 1
2458944.96503 18.575 0.042     52.149     48.430 0 1
2458963.88372 18.627 0.024     -6.519     26.033 0 1
2458963.92797 18.606 0.025     16.252     28.685 0 1
2458972.79564 18.547 0.041     85.401     48.888 0 1
2458975.79979 18.634 0.085    -14.014     92.854 0 1
2458978.88597 18.703 0.170    -87.918    174.931 0 1
2458986.88576 18.639 0.022    -19.418     23.978 0 1
2458995.80251 18.631 0.024    -11.337     25.998 0 1
2459016.84124 18.655 0.032    -37.215     34.060 0 1
2459019.75803 18.662 0.021    -44.501     22.891 0 1
2459022.70446 18.607 0.022     16.162     25.121 0 1
2459025.73530 18.623 0.022     -2.211     24.001 0 1
2459028.70444 18.690 0.038    -74.141     39.874 0 1
2459033.69483 18.592 0.072     33.037     81.760 0 1
2459036.71946 18.560 0.048     69.409     56.178 0 1
2459039.69802 18.654 0.020    -36.343     21.973 0 1
2459042.69896 18.599 0.022     24.513     25.038 0 1
2459051.67169 18.702 0.040    -86.722     41.333 0 1
2459064.69294 18.634 0.092    -14.700    101.512 0 1
2459233.03758 18.671 0.028    -54.713     29.863 0 1
2459254.04252 18.650 0.025    -32.306     26.822 0 1
2459291.98690 18.624 0.022     -2.979     24.607 0 1
2459302.86331 18.614 0.096      7.275    107.692 0 1
2459307.98742 18.631 0.035    -11.090     38.983 0 1
2459309.87727 18.653 0.028    -35.512     29.876 0 1
2459311.94607 18.666 0.022    -49.078     23.427 0 1
2459313.98481 18.596 0.033     27.618     38.050 0 1
2459316.88063 18.642 0.019    -23.165     20.650 0 1
2459319.94150 18.667 0.026    -50.255     27.449 0 1
2459324.88288 18.669 0.029    -52.657     30.747 0 1
2459334.95929 18.688 0.062    -72.089     64.497 0 1
2459339.86487 18.644 0.023    -24.957     25.462 0 1
2459341.84204 18.609 0.020     13.121     22.456 0 1
2459343.88504 18.643 0.025    -24.576     27.248 0 1
2459345.86611 18.648 0.022    -29.921     24.270 0 1
2459349.86372 18.700 0.021    -84.747     21.923 0 1
2459352.82614 18.633 0.021    -13.334     23.079 0 1
2459361.82034 18.540 0.071     93.951     85.650 0 1
2459363.80108 18.765 0.050   -149.934     48.818 0 1
2459368.84591 18.641 0.022    -21.557     24.136 0 1
2459370.73879 18.634 0.023    -14.688     25.122 0 1
2459376.84191 18.682 0.024    -66.190     24.973 0 1
2459378.84591 18.622 0.025     -1.663     28.273 0 1
2459386.77894 18.529 0.074    107.284     89.925 0 1
2459390.73904 18.592 0.063     32.128     72.170 0 1
2459392.73601 18.603 0.031     20.386     34.985 0 1
2459396.79537 18.593 0.031     31.937     35.566 0 1
2459399.75864 18.683 0.026    -66.637     26.960 0 1
2459405.71768    nan   nan        nan        nan 1 1
2459407.76159 18.606 0.030     17.140     33.969 0 1
2459409.71701    nan   nan        nan        nan 1 1
2459412.75384 18.644 0.045    -25.555     49.062 0 1
2459419.73183 18.626 0.104     -5.265    115.582 0 1
2459423.73256 18.534 0.033    100.276     39.645 0 1
2459427.77327 18.643 0.036    -24.230     39.317 0 1
2459434.73686 18.673 0.030    -56.232     31.736 0 1
2459438.69265 18.668 0.036    -51.182     38.171 0 1
2459440.70722 18.741 0.062   -125.975     62.133 0 1
2459443.66975 18.752 0.116   -136.761    114.336 0 1
2459447.68153 18.683 0.100    -67.485    105.370 0 1
2459450.71373 18.534 0.109    100.814    131.847 0 1
2459454.66971 18.636 0.032    -16.814     35.016 0 1
2459457.70511 18.622 0.042     -1.393     46.844 0 1
2459460.68738 18.706 0.035    -90.374     35.957 0 1
2459462.67242 18.623 0.036     -1.818     40.190 0 1
