jd mag magerr filt field flux fluxerr adjflux
2459808 19.472 0.068 zg 431 59.05086298799675 3.698374122172989 1.3519696869859246
2459808 19.426 0.066 zg 431 61.606459236500164 3.744948627290921 3.9075659354893375
2459808 19.488 0.063 zg 431 58.18703784378428 3.3763112698033684 0.48814454277345476
2459808 19.419 0.067 zg 431 62.00493390787169 3.826279858423684 4.306040606860861
2459810 19.574 0.068 zg 431 53.755913807032655 3.3667497895518177 -3.9429794939781715
2459812 19.409 0.069 zg 431 62.578658497513636 3.9769581390079467 4.8797651965028095
2459816 19.479 0.064 zg 431 58.67137265165823 3.458453198162094 0.9724793506474043
2459818 19.565 0.067 zg 431 54.20336501181329 3.3448506551372774 -3.495528289197537
2459823 19.491 0.072 zg 431 58.026483033467926 3.8479943471539726 0.3275897324570991
2459825 19.335 0.121 zg 431 66.99250987040655 7.465988201180964 9.293616569395724
2459828 19.859 0.229 zg 431 41.34530965441207 8.720420180673239 -16.353583646598757
2459830 19.271 0.147 zg 431 71.06017110916319 9.620978933252042 13.361277808152366
2459840 19.487 0.05 zg 431 58.240654773880735 2.682081269771006 0.5417614728699078
2459842 19.568 0.087 zg 431 54.053802303167586 4.331329083221648 -3.6450909978432406
2459844 19.608 0.112 zg 431 52.09862349702525 5.374275819573234 -5.600269803985576
2459997 19.639 0.06 zg 431 50.63213596642275 2.7980352360655854 -7.066757334588075
2460021 19.458 0.093 zg 431 59.8172232431122 5.123713971432601 2.1183299421013757
2460036 19.49 0.069 zg 431 58.0799520189987 3.6910592754928624 0.3810587179878766
2460043 19.329 0.133 zg 431 67.3637489881945 8.25189265695138 9.664855687183675
2460045 19.536 0.091 zg 431 55.67064446695762 4.665984816838367 -2.0282488340532083
2460049 19.513 0.047 zg 431 56.86253915811025 2.4614996982867923 -0.836354142900575
2460051 19.578 0.044 zg 431 53.558234064896865 2.1704740880225466 -4.140659236113962
2460053 19.494 0.054 zg 431 57.86637124015452 2.8780324661499663 0.16747793914369424
2460055 19.499 0.047 zg 431 57.60049941492443 2.4934449644741647 -0.09839388608639865
2460057 19.465 0.05 zg 431 59.432807893043666 2.7369819497860246 1.7339145920328392
2460061 19.563 0.052 zg 431 54.30330331834904 2.600789915800224 -3.3955899826617895
2460063 19.52 0.05 zg 431 56.49711208358028 2.6017881616173146 -1.2017812174305504
2460139 19.475 0.067 zg 431 58.887924635102614 3.633931458913463 1.189031334091787
2460139 19.703 0.084 zg 431 47.73382635512608 3.6930162190951554 -9.96506694588475
2460139 19.42 0.066 zg 431 61.94785154470332 3.76570126705983 4.248958243692492
2460139 19.549 0.075 zg 431 55.00804989238484 3.799821470306342 -2.6908434086259874
2460139 19.64 0.081 zg 431 50.585523514943866 3.773870104684629 -7.113369786066961
2460139 19.554 0.072 zg 431 54.75531086082297 3.6310683614511157 -2.9435824401878534
2460139 19.558 0.066 zg 431 54.55395597789059 3.3162393210815697 -3.1449373231202387
2460139 19.504 0.069 zg 431 57.33584915976915 3.6437705353165346 -0.36304414124168005
2460139 19.62 0.069 zg 431 51.52597861253085 3.274545427041963 -6.1729146884799775
2460139 19.471 0.063 zg 431 59.10527589695876 3.429592165380466 1.4063825959479317
2460139 19.535 0.058 zg 431 55.72194264544237 2.9766647361231033 -1.9769506555684586
2460139 19.537 0.057 zg 431 55.619393514089985 2.9199592096216236 -2.0794997869208416
2460139 19.596 0.065 zg 431 52.67763259181837 3.1536630200435956 -5.021260709192454
2460139 19.549 0.07 zg 431 55.00804989238484 3.546500038952586 -2.6908434086259874
2460139 19.605 0.078 zg 431 52.242776376469685 3.7531552687537144 -5.456116924541142
2458198 18.353 0.019 zr 431 165.5107661042443 2.896379932988595 -1.81046405788436
2458224 18.37 0.032 zr 431 162.93945108472 4.802328974442352 -4.38177907740868
2458231 18.348 0.028 zr 431 166.27472908939828 4.288051180480166 -1.0465010727303934
2458244 18.296 0.03 zr 431 174.43203557176693 4.819735258177892 7.11080540963826
2458257 18.34 0.02 zr 431 167.50441132287364 3.085545284182335 0.18318116074496515
2458257 18.379 0.021 zr 431 161.59437862144648 3.125512381533179 -5.7268515406821905
2458279 18.334 0.021 zr 431 168.43263732911467 3.257776031056612 1.1114071669859982
2458282 18.351 0.023 zr 431 165.8159291817449 3.512608637776548 -1.5053009803837654
