mjd,filter,flux,sigflux
58321.48451389978,ZTF_r,6.420530095222917,10.368792347030562
58324.4860069002,ZTF_r,8.505650507635929,10.644932335689298
58327.48438660009,ZTF_g,-10.609239884258384,25.47405461108351
58330.48393520014,ZTF_g,5.708139831873388,13.956636044131017
58333.46508099977,ZTF_g,2.6416378233443476,14.726685050322063
58336.462881899904,ZTF_r,1.5379985809596304,9.750337039692422
58336.49939810019,ZTF_g,5.254149468359715,10.235506181523455
58340.45805560006,ZTF_r,-4.0462510703482115,12.258104317290623
58343.4401273001,ZTF_g,-0.17325754119898812,4.643075509879952
58343.49990739999,ZTF_r,-1.4143364034861459,8.199361650143699
58345.45685190009,ZTF_g,8.925612323256304,4.814991600033171
58345.48293979978,ZTF_r,-9.40670165444402,8.116235144217319
58346.43930559978,ZTF_r,-10.8591705640347,8.29539693546224
58346.454074100126,ZTF_r,-2.1110807359353676,8.078906022012989
58346.49837959977,ZTF_g,2.9751662800851104,5.353090916126143
58346.49929400021,ZTF_g,1.5411962447462437,6.404534704198847
58347.455324099865,ZTF_r,0.5071980174030174,6.846667004601957
58347.48221059982,ZTF_g,-8.168211597014116,3.980432457060559
58348.45721059991,ZTF_r,-8.90182305448844,6.803350158120931
58348.483379600104,ZTF_g,-3.7509674401479964,3.971087664264225
58349.439942100085,ZTF_g,5.784198849559961,3.9955410805895277
58349.45663189981,ZTF_g,-2.5229092377073106,3.6896290446243407
58349.49370370014,ZTF_r,-2.3584898739217106,6.748281908661944
58349.494618100114,ZTF_r,-6.8701968893481045,7.282123565842371
58350.46172450017,ZTF_g,-0.33386428634151355,4.044490369178352
58350.482777799945,ZTF_r,10.443651678497856,7.303691382093823
58351.461886600126,ZTF_g,-6.093713711226508,3.470085862960416
58351.506018499844,ZTF_r,-5.504550290842724,6.016289800248914
58352.45468749991,ZTF_g,3.8618216243392873,3.5929243977113363
58352.455601899885,ZTF_g,3.2150370486121527,3.5996876331084655
58352.507141199894,ZTF_r,5.295394618460292,6.992907206693149
58353.404305600096,ZTF_r,-3.416861793064752,12.544966217226172
58353.49972219998,ZTF_r,-3.025861287429413,6.0394165260234205
58354.43457179982,ZTF_r,-8.684327427109823,11.910907088665253
58355.398587999865,ZTF_r,35.965109710385526,17.54613255101868
58355.39995370014,ZTF_r,13.872136615110621,19.13240473873177
58355.45987269981,ZTF_r,3.2058745567592806,12.04068074334415
