jd mag magerr filt field flux fluxerr adjflux
2458206 18.206 0.033 zg 430 189.50743302485125 5.759912271888589 6.095440329295485
2458206 18.26 0.037 zg 430 180.31267191861656 6.144742002478442 -3.0993207769392086
2458207 18.115 0.041 zg 431 206.07544622384367 7.781902508316745 0.2412007225849777
2458207 18.156 0.039 zg 431 198.4386431881658 7.127981042192947 -7.395602313092894
2458210 18.132 0.05 zg 431 202.87393309872846 9.342689882204072 -2.960312402530235
2458230 18.224 0.025 zg 430 186.391562466483 4.291824331951924 2.9795697709272417
2458231 18.118 0.017 zg 431 205.50682466472333 3.2177392666744256 -0.32742083653536724
2458233 18.192 0.033 zg 430 191.96685457045461 5.834664233414079 8.554861874898847
2458234 18.036 0.047 zg 431 221.62882751630184 9.594001607035564 15.794582015043147
2458234 18.006 0.065 zg 431 227.8380468214196 13.640028745924889 22.003801320160903
2458236 18.253 0.067 zg 430 181.47894626025843 11.198935198210515 -1.9330464352973422
2458236 18.173 0.054 zg 430 195.35577265536682 9.716183062846161 11.943779959811053
2458237 18.052 0.06 zg 431 218.38673173304755 12.06849679190892 12.552486231788862
2458244 18.092 0.041 zg 431 210.48747041869365 7.948511111028992 4.6532249174349545
2458244 18.212 0.04 zg 430 188.4630646025603 6.943235890141267 5.051071907004541
2458247 18.118 0.015 zg 431 205.50682466472333 2.8391817058891986 -0.32742083653536724
2458247 18.252 0.019 zg 430 181.64617154506735 3.1787438276732463 -1.7658211504884207
2458261 18.205 0.037 zg 430 189.6820562255804 6.464034311087503 6.270063530024629
2458262 18.207 0.031 zg 431 189.33297058398927 5.405845418419276 -16.501274917269427
2458269 18.027 0.054 zg 430 223.47361218952446 11.114647375070842 40.06161949396869
2458272 18.133 0.03 zg 430 202.68716532402658 5.60045334499588 19.275172628470813
2458273 18.14 0.02 zg 431 201.3845963750173 3.7096413565739015 -4.449649126241383
2458275 18.251 0.017 zg 430 181.8135509210054 2.846759969974143 -1.5984417745503663
2458278 18.261 0.018 zg 430 180.1466742669202 2.9865819363801447 -3.2653184286355668
