jd mag magerr filt field flux fluxerr adjflux
2458584 18.911 0.033 zg 431 98.99796079918802 3.0089562198038546 1.4341047029752048
2458592 18.733 0.122 zg 431 116.63428971310351 13.10574638907664 19.070433616890696
2458617 18.949 0.04 zg 431 95.59303469087321 3.521777546772278 -1.9708214053396063
2458633 18.942 0.03 zg 431 96.21133679029508 2.658417478444357 -1.3525193059177383
2458639 18.928 0.029 zg 431 97.45996451352704 2.6031543928498824 -0.10389158268577603
2458642 18.9 0.027 zg 431 100.00604421820891 2.4869422075624334 2.4421881219960966
2458645 18.961 0.052 zg 431 94.54231859446558 4.5279880558163725 -3.0215375017472326
2458648 18.867 0.088 zg 431 103.09230475351819 8.355733905300326 5.5284486573053755
2458651 18.927 0.151 zg 431 97.5497698086265 13.56684540549518 -0.014086287586323465
2458654 18.944 0.065 zg 431 96.03427209108177 5.749304166669935 -1.529584005131042
2458657 19.024 0.036 zg 431 89.21261075149351 2.958042637777958 -8.351245344719302
2458660 18.929 0.065 zg 431 97.3702418940821 5.8292849546499825 -0.19361420213071767
2458665 18.967 0.028 zg 431 94.02129938939156 2.424710874856964 -3.5425567068212587
2458672 18.955 0.035 zg 431 95.06622502843139 3.0645730163675706 -2.497631067781427
2458682 18.911 0.055 zg 431 98.99796079918802 5.014927033006424 1.4341047029752048
2458692 18.954 0.035 zg 431 95.1538245923677 3.0673968926685857 -2.4100315038451186
2458707 19.085 0.119 zg 431 84.33857307572649 9.243764877719306 -13.22528302048633
2458712 18.904 0.05 zg 431 99.63828618689607 4.58851264930843 2.0744300906832507
2458718 18.967 0.037 zg 431 94.02129938939156 3.204082227489559 -3.5425567068212587
2458723 18.963 0.042 zg 431 94.36832551045552 3.650490472795902 -3.1955305857572966
2458728 18.872 0.039 zg 431 102.61863863890684 3.6860951024553197 5.054782542694028
2458729 18.908 0.051 zg 431 99.27188053353849 4.663071826308236 1.708024437325676
2458761 18.945 0.106 zg 431 95.94586197835982 9.367156888695426 -1.6179941178530015
2458886 18.836 0.095 zg 431 106.07822617548602 9.281657406751147 8.514370079273206
2458893 19.0 0.069 zg 431 91.20659632811274 5.796302194824326 -6.357259768100079
2458901 18.978 0.076 zg 431 93.07354354433065 6.515016519086163 -4.49031255188217
2458913 18.937 0.031 zg 431 96.65542814332306 2.7597111151971836 -0.9084279528897525
2458915 18.999 0.078 zg 431 91.29063940507412 6.558379321229378 -6.2732166911387
2458939 19.156 0.187 zg 431 78.99984676811565 13.606409439877355 -18.56400932809717
2458943 18.981 0.052 zg 431 92.81672680845624 4.445342959816765 -4.747129287756579
2458954 18.956 0.043 zg 431 94.97870610953082 3.7615807088422923 -2.585149986681998
2458963 18.902 0.031 zg 431 99.82199584376814 2.8501231308263995 2.258139747555319
2458963 18.93 0.032 zg 431 97.28060187417904 2.8671598555260585 -0.2832542220337757
2458966 18.905 0.027 zg 431 99.54655818270115 2.4755157460478032 1.982702086488331
2458972 18.962 0.034 zg 431 94.45528198907513 2.9578820099712706 -3.1085741071376845
2458975 19.193 0.139 zg 431 76.35302518284018 9.77499917005998 -21.210830913372632
2458986 18.968 0.028 zg 431 93.93474243949977 2.4224786617407865 -3.629113656713045
2458995 18.899 0.027 zg 431 100.09819561963344 2.489233821149195 2.534339523420627
2459009 18.923 0.05 zg 431 97.90981927026166 4.508913806188914 0.3459631740488476
2459018 18.964 0.033 zg 431 94.28144908484123 2.86560198155395 -3.282407011371589
2459024 19.045 0.054 zg 431 87.50366611561002 4.352068163090848 -10.0601899806028
2459027 18.997 0.043 zg 431 91.4589579569334 3.622182971253349 -6.104898139279413
2459033 18.884 0.087 zg 431 101.4907002304438 8.132445875299526 3.92684413423099
2459036 19.024 0.066 zg 431 89.21261075149351 5.42307816925959 -8.351245344719302
2459039 18.909 0.027 zg 431 99.18048984605821 2.4664123883021145 1.6166337498453913
2459042 19.039 0.047 zg 431 87.98856784380038 3.8089018958153646 -9.575288252412435
2459045 18.918 0.027 zg 431 98.3617504622087 2.4460520436188853 0.7978943659958873
2459048 18.953 0.031 zg 431 95.24150487565133 2.719340700076332 -2.3223512205614867
2459249 18.832 0.058 zg 431 106.4697535804259 5.687611484817685 8.905897484213085
2459253 18.924 0.034 zg 431 97.81968251002174 3.063238741386216 0.2558264138089186
2459257 18.933 0.03 zg 431 97.01217665165264 2.680545501564005 -0.5516794445601789
2459264 18.882 0.031 zg 431 101.67782530483586 2.903110875953601 4.113969208623047
2459269 18.95 0.032 zg 431 95.5050307857213 2.814828290472183 -2.058825310491514
2459270 19.004 0.113 zg 431 90.87119701729523 9.457587596281616 -6.692659078917586
2459277 18.802 0.066 zg 431 109.45264193818738 6.65343417329409 11.888785841974567
2459303 18.769 0.112 zg 431 112.83043147020955 11.639114795364707 15.26657537399673
2459306 18.845 0.072 zg 431 105.20254566943497 6.976449026019829 7.638689573222152
2459308 18.873 0.036 zg 431 102.52416689239477 3.3994169043560913 4.9603107961819575
2459310 18.973 0.03 zg 431 93.5031515017985 2.5835875535520607 -4.060704594414318
2459312 18.955 0.037 zg 431 95.06622502843139 3.239691474445717 -2.497631067781427
2459319 18.948 0.034 zg 431 95.68111968795604 2.996269310292747 -1.8827364082567755
2459322 18.963 0.034 zg 431 94.36832551045552 2.955158954168111 -3.1955305857572966
2459324 18.987 0.032 zg 431 92.30521727560146 2.720519901496018 -5.258638820611353
2459328 19.019 0.086 zg 431 89.62439745291066 7.099052373101409 -7.93945864330216
2459334 19.017 0.087 zg 431 89.78964384497078 7.194840680709066 -7.774212251242034
2459336 19.041 0.052 zg 431 87.8266361024981 4.206348703594436 -9.737219993714717
2459339 18.918 0.029 zg 431 98.3617504622087 2.627241083886951 0.7978943659958873
2459341 18.837 0.029 zg 431 105.98056949803814 2.8307396418891444 8.41671340182532
2459343 18.975 0.032 zg 431 93.33107087233728 2.7507549760488272 -4.232785223875538
2459345 18.995 0.032 zg 431 91.62758684876951 2.7005480394879227 -5.936269247443306
2459349 18.918 0.026 zg 431 98.3617504622087 2.3554575234848523 0.7978943659958873
2459358 18.914 0.101 zg 431 98.7247968883443 9.183818723208251 1.160940792131484
