106641854985700187_0 0.020496224379719527 7 3474622 188 32 False
106641854985700187_1 0.27939590075512405 9 9543666 195 46 False
106641854985700187_2 0.8155339805825242 90 2573973 39 288 False
106641854985700187_3 0.6175836030204962 17 8982750 138 182 False
106641854985700187_4 0.6272923408845739 100 9943850 203 332 False
106641864777230370_0 0.09816612729234088 41 6625371 80 85 False
106641864777230370_1 0.7076591154261057 18 4891429 292 254 False
106641864777230370_2 0.4077669902912621 21 213318 263 67 False
106641864777230370_3 0.5577130528586839 9 5143117 127 193 False
106641864777230370_4 0.4045307443365696 91 1440717 92 26 True
106641870824477267_0 0.8870056497175142 80 4706925 260 188 False
106641870824477267_1 0.3050847457627119 26 8228269 80 316 False
106641870824477267_2 0.8578154425612052 3 3029101 139 299 False
106641870824477267_3 0.04048964218455744 41 9989918 176 338 False
106641870824477267_4 0.8088512241054614 20 6992032 105 81 False
106641871113235790_0 0.08346972176759411 23 8780879 115 36 False
106641871113235790_1 0.7370430987452264 97 3209657 352 48 False
106641871113235790_2 0.84506273867976 71 9619968 158 280 False
106641871113235790_3 0.5995635570103656 40 2488769 63 290 True
106641871113235790_4 0.6033824331696672 35 7855336 188 41 True
106641875544897789_0 0.0048543689320388345 88 8747212 75 124 False
106641875544897789_1 0.9018338727076591 37 9938739 240 342 False
106641875544897789_2 0.7022653721682848 81 7847605 34 69 False
106641875544897789_3 0.42826321467098166 56 9553318 312 99 False
106641875544897789_4 0.7222222222222222 1 5294294 45 65 False
106641942497375545_0 0.4029047875201721 38 7227702 82 99 True
106641942497375545_1 0.17159763313609466 93 743876 86 197 True
106641942497375545_2 0.9978483055406132 64 5629610 21 67 False
106641942497375545_3 0.3474986551909629 53 4523598 218 315 True
106641942497375545_4 0.8563743948359333 46 6534458 32 344 False
106641958949949282_0 0.30744509908944834 52 2850412 267 60 False
106641958949949282_1 0.35779325120514194 7 2331197 3 341 False
106641958949949282_2 0.2329941081949652 74 8975630 95 337 False
106641958949949282_3 0.6148901981788967 67 120797 57 107 True
106641958949949282_4 0.6084627745045528 69 4910586 326 128 True
106641968962101956_0 0.24209962506695232 58 2446644 192 245 False
106641968962101956_1 0.5966791644349223 59 2728921 358 333 True
106641968962101956_2 0.3615425816818425 97 6774979 68 265 True
106641968962101956_3 0.04392072844134976 98 6696272 164 271 False
106641968962101956_4 0.46170326727370115 35 9072392 141 321 False
106641980442660846_0 0.5532940546331012 33 3060007 144 131 True
106641980442660846_1 0.24209962506695232 40 2510354 263 180 False
106641980442660846_2 0.9791108730583824 21 5049164 257 315 False
106641980442660846_3 0.5806106052490627 54 3106047 106 318 True
106641980442660846_4 0.7986073915372255 77 6696102 211 180 True
106641983572639058_0 0.09694697375468667 40 2822558 141 298 False
106641983572639058_1 0.5179432244242099 81 8585843 353 13 False
106641983572639058_2 0.9426888055704339 16 820445 357 329 False
106641983572639058_3 0.07766470273165506 48 5819686 213 102 False
106641983572639058_4 0.8473486877343331 86 8449093 275 204 False
106641984500748766_0 0.9498652291105121 91 8180726 79 285 False
106641984500748766_1 0.8814016172506739 62 264662 114 174 False
106641984500748766_2 0.10997304582210242 18 1606774 117 164 False
106641984500748766_3 0.2679245283018868 91 1613924 235 56 True
106641984500748766_4 0.2889487870619946 24 7788122 312 322 False
106641998438975132_0 0.32137118371719336 17 5646681 89 103 False
106641998438975132_1 0.914301017675415 79 4519159 208 54 True
106641998438975132_2 0.48205677557579 52 6540963 261 29 False
106641998438975132_3 0.5618639528655597 3 8635606 216 272 False
106641998438975132_4 0.0016068559185859668 18 7567586 281 62 False
106642003343431749_0 0.3706480985538297 96 4916238 29 77 True
106642003343431749_1 0.5522228173540439 83 5739633 278 190 True
106642003343431749_2 0.6432779860739154 89 2746390 15 241 False
106642003343431749_3 0.4156400642742367 84 2010037 348 360 False
106642003343431749_4 0.04552758435993572 80 5988194 269 7 False
106642006163752050_0 0.6422067487948581 29 9167171 38 117 False
106642006163752050_1 0.3893947509373326 44 6253618 187 35 False
106642006163752050_2 0.3369041242635244 98 2871763 31 153 False
106642006163752050_3 0.4461703267273701 33 9690215 284 258 False
106642006163752050_4 0.23567220139260847 85 3385722 250 77 True
106642017097048940_0 0.2495982860203535 54 5531734 198 6 False
106642017097048940_1 0.7000535618639528 4 2436399 279 156 False
106642017097048940_2 0.11730048205677558 48 7454425 204 274 False
106642017097048940_3 0.9833958221746116 59 6293011 150 245 False
106642017097048940_4 0.4343867166577397 58 6738593 361 217 False
106642032785671202_0 0.8293864370290636 36 5765789 262 289 False
106642032785671202_1 0.9623250807319699 15 2333148 156 185 False
106642032785671202_2 0.11356297093649086 69 8169609 40 26 False
106642032785671202_3 0.48170075349838537 8 7943007 354 143 False
