# Instrumental magnitude: -7.930 mag
# DoPHOT object type: 1
2458259.92315 18.387 0.040     10.641     55.420 0 1
2458263.96299 18.466 0.026    -94.047     33.092 0 1
2458267.96313 18.204 0.056    285.712     91.750 0 1
2458270.96431 18.533 0.072   -177.934     86.783 0 1
2458278.92235 18.414 0.023    -26.061     30.320 0 1
2458282.94089 18.436 0.027    -54.418     35.322 0 1
2458291.94419 18.416 0.020    -28.190     26.786 0 1
2458294.94816 18.418 0.025    -30.706     34.123 0 1
2458310.86282 18.311 0.024    120.060     35.010 0 1
2458316.90250 18.364 0.024     43.407     33.596 0 1
2458319.90277 18.365 0.022     42.277     30.617 0 1
2458322.92645 18.368 0.021     37.713     29.174 0 1
2458333.81653 18.323 0.030    102.320     43.571 0 1
2458336.82270 18.357 0.022     52.378     30.603 0 1
2458340.84205 18.444 0.035    -65.579     45.463 0 1
2458343.90236 18.444 0.024    -65.187     31.569 0 1
2458346.84141 18.418 0.022    -31.362     29.879 0 1
2458349.86780 18.416 0.022    -28.855     28.929 0 1
2458352.84300 18.430 0.040    -47.481     53.416 0 1
2458363.80351 18.453 0.031    -76.738     40.687 0 1
2458366.75870 18.450 0.021    -72.794     27.384 0 1
2458369.78288 18.453 0.023    -77.884     30.273 0 1
2458372.76028 18.453 0.023    -77.170     29.593 0 1
2458375.79044 18.499 0.023   -135.966     28.326 0 1
2458378.80311 18.487 0.024   -120.653     30.574 0 1
2458388.81677 18.516 0.064   -156.135     77.952 0 1
2458426.68862 18.565 0.049   -215.490     57.543 0 1
2458429.68909 18.581 0.027   -234.495     30.947 0 1
2458469.62366 18.550 0.055   -197.267     65.374 0 1
2458608.95819 18.849 0.038   -507.361     34.400 0 1
2458634.97768 18.795 0.037   -457.581     34.782 0 1
2458637.96574 18.756 0.028   -420.584     27.319 0 1
2458641.94273 18.746 0.026   -410.798     25.605 0 1
2458644.94394 18.770 0.031   -434.436     30.283 0 1
2458647.96867 18.786 0.031   -449.713     29.361 0 1
2458650.96303 18.759 0.060   -423.641     59.042 0 1
2458653.88075 18.779 0.091   -443.014     86.993 0 1
2458658.96413 18.802 0.047   -464.523     43.772 0 1
2458661.96552 18.668 0.028   -329.935     30.059 0 1
2458665.98569 18.862 0.050   -519.557     44.539 0 1
2458674.93073 18.743 0.027   -407.336     27.144 0 1
2458680.94754 18.551 0.074   -198.520     87.689 0 1
2458685.96634 18.868 0.081   -525.004     71.862 0 1
2458691.94811 18.709 0.035   -373.453     35.949 0 1
2458694.93100 18.649 0.024   -310.164     25.865 0 1
2458700.87951 18.699 0.027   -363.350     28.245 0 1
2458703.87662 18.626 0.026   -284.446     28.928 0 1
2458707.90520 18.714 0.054   -378.742     55.014 0 1
2458712.97794 18.605 0.130   -261.248    146.140 0 1
2458727.77042 18.611 0.025   -268.625     27.738 0 1
2458732.80737 18.500 0.026   -136.937     31.829 0 1
2458747.80284 18.603 0.037   -259.557     42.133 0 1
2458754.75758 18.613 0.027   -270.704     29.831 0 1
2458761.75820 18.677 0.035   -339.399     36.756 0 1
2458764.75655 18.739 0.073   -403.773     72.469 0 1
2458771.68876 18.731 0.074   -395.943     74.140 0 1
2458774.68745 18.724 0.043   -388.696     43.590 0 1
2458777.61977 18.708 0.032   -371.833     33.160 0 1
2458794.62956 18.652 0.064   -313.473     68.674 0 1
2458797.64895 18.703 0.063   -367.218     64.680 0 1
2458801.67618 18.659 0.075   -320.552     80.603 0 1
2458829.58700 18.708 0.099   -372.036    101.103 0 1
2458996.92385 18.385 0.023     13.344     31.953 0 1
2459002.94296 18.371 0.031     32.584     43.276 0 1
2459018.86208 18.400 0.022     -6.339     30.221 0 1
2459023.84841 18.372 0.021     31.587     29.851 0 1
2459026.88437 18.386 0.021     12.634     29.218 0 1
2459030.88090 18.363 0.026     44.415     36.235 0 1
2459033.94521 18.292 0.032    148.306     48.880 0 1
2459036.96584 18.360 0.051     48.631     71.537 0 1
2459040.96763 18.292 0.031    148.615     46.621 0 1
2459043.86273 18.298 0.023    138.984     33.726 0 1
2459046.86191 18.304 0.018    129.955     26.625 0 1
2459052.94638 18.326 0.018     97.884     25.856 0 1
2459055.88450 18.358 0.018     51.702     25.967 0 1
2459060.88194 18.367 0.020     38.860     28.266 0 1
2459063.94005 18.289 0.054    152.869     81.769 0 1
2459067.88226 18.312 0.041    117.706     60.026 0 1
2459071.90429 18.322 0.025    104.033     37.068 0 1
2459077.84185 18.384 0.022     14.790     29.990 0 1
2459080.88345 18.353 0.024     59.042     34.283 0 1
2459084.90808 18.399 0.026     -6.019     35.239 0 1
2459085.84308 18.421 0.021    -35.557     28.439 0 1
2459088.83061 18.407 0.031    -16.179     41.654 0 1
2459088.86024 18.402 0.029    -10.160     38.820 0 1
2459089.84987 18.364 0.037     43.087     51.534 0 1
2459090.86517 18.315 0.045    113.111     65.550 0 1
2459095.80360 18.436 0.080    -55.052    104.891 0 1
2459097.82174 18.474 0.054   -104.832     68.538 0 3
2459099.88055 18.327 0.046     96.308     67.312 0 1
2459099.88149 18.425 0.049    -40.750     64.654 0 3
2459106.78051 18.437 0.042    -56.001     55.097 0 3
2459107.82609 18.428 0.039    -44.150     51.379 0 1
2459108.79658 18.457 0.038    -82.340     49.176 0 3
2459110.81539 18.417 0.038    -30.319     51.236 0 3
2459110.81868 18.483 0.039   -115.790     48.900 0 1
2459114.73850 18.474 0.025   -103.952     31.580 0 3
2459114.73943 18.458 0.023    -83.569     30.277 0 1
2459122.80711 18.388 0.084      9.384    115.513 0 1
2459123.69296 18.442 0.074    -63.336     96.722 0 1
2459125.71608 18.362 0.043     45.502     60.980 0 3
2459125.71702 18.381 0.044     18.799     61.283 0 1
2459128.69045 18.342 0.029     75.036     41.504 0 3
2459129.77936 18.354 0.033     57.859     47.500 0 3
2459129.78030 18.445 0.036    -66.908     46.701 0 1
2459130.67411 18.363 0.021     44.448     29.476 0 3
2459131.69406 18.339 0.020     78.976     29.133 0 1
2459131.71090 18.366 0.021     40.555     29.115 0 3
2459134.71651 18.361 0.023     47.307     32.643 0 3
2459134.73033 18.373 0.022     30.302     31.237 0 1
2459135.73708 18.298 0.022    139.601     32.817 0 3
2459136.63690 18.326 0.021     97.060     30.517 0 3
2459136.64064 18.376 0.022     26.287     30.350 0 1
2459138.69681 18.311 0.022    120.251     32.630 0 3
2459138.69961 18.308 0.022    123.861     32.670 0 1
2459140.67904 18.376 0.021     25.790     29.095 0 1
2459140.68138 18.320 0.021    106.662     30.094 0 3
2459141.71932 18.514 0.072   -153.769     88.938 0 3
2459142.67584 18.380 0.021     21.246     28.621 0 1
2459142.67678 18.347 0.021     66.725     29.613 0 3
2459150.66798 18.283 0.042    161.798     63.821 0 1
2459154.78074 18.361 0.088     47.210    124.945 0 3
2459155.68621 18.266 0.037    188.055     56.518 0 3
2459156.60931 18.301 0.024    134.539     36.172 0 3
