# Instrumental magnitude: -8.397 mag
# DoPHOT object type: 2
2458203.88126 17.926 0.019      3.358     40.977 0 1
2458203.90265 17.984 0.022   -113.974     43.052 0 1
2458206.87348 17.909 0.030     40.813     63.927 0 1
2458206.88477 17.927 0.030      2.179     63.279 0 1
2458233.80018 17.899 0.023     62.498     49.173 0 1
2458236.79852 17.885 0.055     93.383    120.419 0 2
2458236.84064 18.047 0.075   -237.836    140.557 0 1
2458236.94478 17.939 0.070    -24.020    146.673 0 1
2458267.71807 17.890 0.052     81.787    113.405 0 1
2458270.77626 17.940 0.029    -24.399     61.000 0 1
2458279.71568 17.915 0.014     28.213     29.220 0 1
2458282.75770 17.969 0.015    -84.526     30.529 0 1
2458288.69564 17.892 0.017     77.955     36.953 0 1
2458294.69325 17.915 0.032     27.264     67.267 0 1
2458300.69378 17.897 0.015     65.404     31.534 0 1
2458305.69410 17.916 0.019     25.350     41.391 0 1
2458308.69135 18.083 0.085   -303.967    154.208 0 1
2458332.67483 17.980 0.021   -105.844     41.277 0 1
2458336.67149 17.899 0.018     61.747     39.393 0 1
2458349.64658 17.837 0.042    199.124     95.990 0 1
2458487.05653 17.952 0.019    -50.684     39.720 0 3
2458488.01663 17.918 0.019     21.458     40.752 0 3
2458493.04376 17.940 0.022    -24.170     46.037 0 1
2458494.04498 17.941 0.015    -27.189     31.431 0 3
2458495.04105 17.904 0.015     51.013     32.490 0 3
2458502.96707 17.917 0.063     22.322    134.625 0 1
2458544.00619 17.916 0.040     25.843     85.384 0 1
2458544.00711 17.926 0.037      4.279     79.028 0 3
2458558.92336 17.955 0.021    -56.160     43.424 0 3
2458568.90225 17.924 0.022      8.656     46.905 0 1
2458568.90315 17.932 0.022     -7.903     46.365 0 3
2458573.88174 17.904 0.016     51.537     35.193 0 1
2458574.90376 17.925 0.014      7.336     30.482 0 3
2458581.82416 17.936 0.019    -16.367     38.741 0 3
2458581.82506 17.917 0.017     23.081     37.170 0 1
2458582.88359 17.881 0.043    101.910     94.263 0 3
2458584.79484 17.919 0.020     19.307     42.346 0 1
2458584.79575 17.912 0.020     34.099     43.300 0 3
2458585.77992 17.901 0.019     57.258     41.037 0 3
2458588.82104 17.945 0.030    -35.518     61.373 0 3
2458588.82194 17.764 0.059    373.404    143.354 0 1
2458597.80192 17.899 0.019     62.558     40.022 0 1
2458597.80283 17.936 0.019    -16.538     39.278 0 3
2458598.78100 17.918 0.014     21.087     30.076 0 3
2458606.90337 17.914 0.015     28.774     32.076 0 1
2458617.70496 17.900 0.029     59.443     61.873 0 1
2458633.75765 17.921 0.016     14.758     33.187 0 1
2458633.75855 17.932 0.016     -9.276     33.207 0 3
2458634.73743 17.958 0.016    -62.299     33.119 0 3
2458635.71663 17.916 0.013     25.816     28.619 0 3
2458636.75638 17.912 0.015     34.553     31.312 0 1
2458639.73670 17.899 0.016     62.546     33.858 0 1
2458642.69624 17.955 0.015    -56.998     31.342 0 1
2458645.73748 17.920 0.026     17.262     56.021 0 1
2458649.71208 17.847 0.046    175.930    103.271 0 1
2458652.69352 17.921 0.029     15.580     61.653 0 1
2458661.71657 17.928 0.016      1.031     33.842 0 1
2458665.69502 17.904 0.015     51.517     33.331 0 1
2458668.71137 17.898 0.015     64.414     31.501 0 1
2458677.69036 17.928 0.034     -0.192     71.264 0 1
2458678.75602 17.917 0.039     24.093     82.914 0 3
2458679.78151 17.837 0.052    200.537    119.552 0 3
2458680.69185 17.947 0.039    -40.508     80.886 0 1
2458680.69275 17.900 0.036     60.747     77.358 0 3
2458683.67115 17.939 0.023    -22.059     48.693 0 1
2458683.68299 17.866 0.018    134.901     40.378 0 3
2458686.67029 17.975 0.023    -96.346     46.755 0 1
2458690.69693 17.895 0.020     71.206     43.537 0 1
2458716.64869 17.926 0.022      5.009     45.428 0 1
2458720.64990 17.919 0.027     19.370     56.669 0 1
2458726.66267 17.912 0.035     33.438     73.997 0 1
