# Instrumental magnitude: -6.384 mag
# DoPHOT object type: 1
2458270.96495 20.017 0.379    -24.218    116.304 0 1
2458274.95223 19.732 0.169     76.116     67.363 0 1
2458277.96050 19.708 0.145     85.648     59.227 0 1
2458280.94762 20.071 0.106    -40.488     30.847 0 1
2458289.93000 20.011 0.105    -22.477     32.455 0 1
2458292.94226 19.933 0.072      2.511     23.981 0 1
2458295.94820 19.749 0.158     69.019     62.144 0 1
2458298.96267 20.195 0.301    -74.642     78.543 0 1
2458304.96146 19.777 0.109     58.455     41.678 0 1
2458307.95780 19.917 0.095      8.098     32.103 0 1
2458313.96385 20.065 0.091    -38.733     26.622 0 1
2458319.93885 20.148 0.080    -62.064     21.729 0 1
2458334.96884 19.804 0.121     48.116     45.381 0 1
2458340.98247 20.001 0.089    -19.126     27.830 0 1
2458343.90513 20.165 0.087    -66.772     23.191 0 1
2458345.90781 20.252 0.092    -89.020     22.777 0 3
2458346.86286 19.936 0.072      1.682     23.714 0 1
2458346.87486 20.003 0.071    -19.815     22.074 0 3
2458350.92865 20.014 0.061    -23.377     18.806 0 3
2458351.92769 20.023 0.064    -26.134     19.677 0 3
2458352.92070 19.982 0.069    -13.214     21.891 0 1
2458352.92161 20.186 0.076    -72.358     20.001 0 3
2458361.90749 19.824 0.137     40.717     50.434 0 3
2458361.90840 19.846 0.134     32.655     48.081 0 1
2458362.97533 20.021 0.143    -25.295     43.751 0 3
2458365.81356 19.744 0.065     71.221     25.798 0 3
2458367.90637 19.842 0.048     34.015     17.482 0 1
2458367.90729 19.805 0.050     47.601     18.598 0 3
2458368.87915 19.842 0.050     34.287     18.163 0 3
2458369.95026 19.794 0.053     51.963     20.113 0 3
2458370.87278 19.843 0.054     33.944     19.372 0 1
2458370.87369 19.803 0.049     48.654     18.258 0 3
2458371.86589 19.859 0.053     28.168     18.906 0 3
2458372.91203 19.788 0.052     54.133     19.556 0 3
2458373.89744 19.970 0.061     -9.576     19.504 0 1
2458373.89836 19.893 0.055     16.059     19.094 0 3
2458375.93091 19.791 0.053     52.958     20.183 0 3
2458376.83119 19.852 0.055     30.679     19.843 0 1
2458376.83210 19.816 0.054     43.611     20.131 0 3
2458377.85706 19.776 0.052     58.902     19.832 0 3
2458378.85483 19.770 0.051     60.947     19.568 0 3
2458379.86619 19.752 0.053     67.984     20.772 0 1
2458379.86710 19.759 0.055     65.318     21.446 0 3
2458380.87156 19.785 0.053     55.271     20.183 0 3
2458382.91724 19.641 0.073    113.709     31.734 0 3
2458382.91816 19.807 0.083     47.165     31.126 0 1
2458384.90438 19.553 0.132    153.902     62.240 0 3
2458385.87794 19.570 0.167    145.878     77.357 0 1
2458385.87885 19.603 0.176    130.455     79.013 0 3
2458386.97849 19.331 0.230    269.926    132.869 0 3
2458388.83003 19.552 0.140    154.067     65.988 0 1
2458425.70107 19.602 0.069    131.044     31.159 0 1
2458437.74288 19.435 0.064    212.564     33.364 0 1
2458441.76415 19.444 0.134    207.738     69.619 0 1
2458450.77386 21.043 2.569   -228.162    306.666 0 1
2458468.80167 19.525 0.121    167.160     58.619 0 3
2458471.59762 19.353 0.165    257.233     93.511 0 1
2458471.59853 19.359 0.201    253.837    113.032 0 3
2458472.65088 19.660 0.160    105.618     68.204 0 3
2458475.59685 19.396 0.100    233.426     54.312 0 3
2458487.65578 19.503 0.060    177.865     29.421 0 3
2458490.61229 19.438 0.054    210.738     28.276 0 3
2458491.65015 19.378 0.054    243.345     30.121 0 3
2458492.68272 19.331 0.302    269.559    174.696 0 3
2458493.68268 19.411 0.054    225.181     28.785 0 3
2458493.68360 19.464 0.061    197.520     31.380 0 1
2458494.63153 19.510 0.059    174.352     29.004 0 3
2458503.68401 19.629 0.172    118.977     75.682 0 1
2458503.68493 19.278 0.129    301.356     78.315 0 3
2458646.94756 19.387 0.116    238.175     63.870 0 1
2458649.97181 19.569 0.111    145.996     51.423 0 1
2458658.96892 19.525 0.103    167.026     49.711 0 1
2458661.97156 19.580 0.083    141.223     38.166 0 1
2458669.96344 19.640 0.051    114.457     22.141 0 1
2458672.92952 19.626 0.052    120.618     22.917 0 1
2458675.95083 19.616 0.050    124.742     22.420 0 1
2458677.96646 19.606 0.049    129.189     22.075 0 3
2458678.95077 19.541 0.057    159.409     27.024 0 3
2458678.95167 19.654 0.064    108.161     27.359 0 1
2458679.95170 19.649 0.114    110.608     49.198 0 3
2458680.98507 19.676 0.142     99.042     59.766 0 3
2458682.98476 19.562 0.106    149.320     49.700 0 3
2458683.98349 19.541 0.106    159.275     50.437 0 3
2458684.92123 19.483 0.143    187.518     71.813 0 3
2458684.92309 19.488 0.129    185.412     64.574 0 1
2458685.97938 19.491 0.101    183.784     50.277 0 3
2458686.98065 19.436 0.099    211.677     51.948 0 3
2458688.94451 19.469 0.086    194.775     43.805 0 3
2458688.94544 19.378 0.086    242.938     47.325 0 1
2458690.97831 19.410 0.055    225.815     29.814 0 3
2458691.97601 19.446 0.050    206.693     26.073 0 3
2458691.97696 19.489 0.054    184.496     27.022 0 1
2458693.93039 19.501 0.046    178.962     22.942 0 3
2458694.95656 19.509 0.039    174.642     19.139 0 1
2458694.95795 19.530 0.042    164.473     20.362 0 3
2458695.92821 19.517 0.043    170.789     21.042 0 3
2458696.93365 19.562 0.045    149.450     20.959 0 3
2458697.96459 19.488 0.039    185.111     19.516 0 3
2458697.96562 19.430 0.041    215.066     21.609 0 1
2458698.95949 19.395 0.038    233.535     20.874 0 3
2458699.95886 19.489 0.042    184.852     20.950 0 3
2458700.96498 19.544 0.040    157.910     19.069 0 1
2458701.95643 19.423 0.044    218.857     23.368 0 3
2458703.98289 19.408 0.040    226.703     21.333 0 1
2458704.92871 19.408 0.042    226.753     22.424 0 3
2458705.90474 19.455 0.041    201.868     21.145 0 3
2458707.94163 19.450 0.042    204.778     21.791 0 3
2458708.96393 19.413 0.057    223.976     30.755 0 3
2458709.96867 19.421 0.086    219.641     45.542 0 3
2458709.96958 19.267 0.081    307.712     49.866 0 1
2458712.00864 19.540 0.157    160.077     74.983 0 3
2458712.98309 19.473 0.121    192.761     61.453 0 3
2458712.98400 19.330 0.112    270.321     64.577 0 1
2458713.95267 19.441 0.137    209.318     71.563 0 3
2458714.97803 19.209 0.103    344.603     66.719 0 3
2458718.91636 19.337 0.057    266.077     32.495 0 1
2458724.94085 19.457 0.042    201.088     21.683 0 1
2458727.90446 19.467 0.042    195.665     21.601 0 1
2458730.97966 19.298 0.046    289.041     27.257 0 1
2458733.95841 19.288 0.039    294.971     23.325 0 1
2458736.96365 19.394 0.041    234.329     22.401 0 1
2458738.97014 19.339 0.108    265.146     61.938 0 3
2458740.00556 19.461 0.171    198.726     87.608 0 1
2458743.90632 18.973 0.130    514.595    104.501 0 1
2458746.88778 19.275 0.067    303.089     40.726 0 1
2458749.82780 19.396 0.042    233.440     23.036 0 1
2458758.87047 19.341 0.044    263.832     25.464 0 3
2458760.86421 19.418 0.046    221.409     24.683 0 3
2458760.88024 19.318 0.045    277.482     26.144 0 1
2458763.88603 19.418 0.051    221.408     26.966 0 1
2458763.90027 19.403 0.052    229.636     28.141 0 3
2458764.66608 19.402 0.104    229.821     56.336 0 1
2458765.67054 19.424 0.108    218.420     57.537 0 1
2458766.66909 19.334 0.141    267.908     80.995 0 1
2458768.66718 19.020 0.159    478.180    122.343 0 1
2458771.66736 19.316 0.224    278.643    131.045 0 1
2458772.66768 19.332 0.135    269.298     77.829 0 1
2458773.66630 19.079 0.227    433.401    165.343 0 1
2458775.66629 19.378 0.049    243.296     27.279 0 1
2458776.66551 19.387 0.050    238.058     27.682 0 1
2458778.66608 19.381 0.051    241.512     28.202 0 1
2458779.66587 19.294 0.049    291.246     29.485 0 1
2458783.66604 19.385 0.046    239.289     25.264 0 1
2458785.66567 19.283 0.043    298.030     25.998 0 1
2458786.67256 19.488 0.060    185.038     30.150 0 1
2458787.66488 19.358 0.051    254.218     28.938 0 1
2458788.66575 19.348 0.060    260.194     34.187 0 1
2458789.66610 19.365 0.058    250.417     32.749 0 1
2458790.76349 19.388 0.052    237.839     28.615 0 1
2458791.71074 19.280 0.058    299.707     34.858 0 1
2458793.69436 19.348 0.073    260.187     41.403 0 1
2458794.71208 19.394 0.088    234.419     48.158 0 1
2458796.68610 19.195 0.140    353.356     91.986 0 1
2458796.69485 19.290 0.161    293.743     96.609 0 1
2458797.71422 19.490 0.211    184.022    105.277 0 1
2458800.69794 19.225 0.105    334.197     66.787 0 1
2458802.72921 19.362 0.082    251.936     46.222 0 1
2458811.69662 19.404 0.073    229.123     39.218 0 1
2458819.69596 20.398 0.637   -122.852    137.746 0 1
2458828.61045 19.248 0.137    319.531     85.174 0 1
2458831.62798 19.414 0.081    223.543     43.375 0 1
2458838.63267 19.311 0.099    281.120     58.119 0 1
2458846.60042 19.279 0.043    300.534     26.217 0 1
2458853.59020 19.008 0.103    487.237     79.811 0 1
2458856.60813 19.205 0.071    347.024     46.299 0 1
2458859.59379 19.264 0.095    309.652     58.308 0 1
2458862.62733 19.345 0.045    261.555     25.634 0 1
2458867.63004 19.096 0.115    421.125     82.265 0 1
2458872.65354 19.247 0.051    320.374     32.107 0 3
2458872.65446 19.244 0.054    321.950     33.789 0 1
2458873.61894 19.198 0.044    351.377     28.436 0 3
2458875.63044 19.294 0.048    291.419     28.981 0 1
2458881.62926 19.214 0.089    340.878     57.128 0 1
2458892.65026 19.067 0.066    442.367     48.798 0 1
2458895.62985 19.092 0.061    424.510     43.865 0 1
2459035.96061 19.127 0.092    399.303     63.864 0 1
2459036.96789 19.114 0.079    408.352     55.701 0 1
2459038.98305 18.965 0.068    520.975     55.430 0 1
2459040.97764 19.070 0.057    439.948     41.984 0 1
2459040.98578 19.126 0.073    399.949     50.660 0 1
2459043.86404 19.034 0.073    466.807     55.062 0 1
