# Instrumental magnitude: -7.678 mag
# DoPHOT object type: 1
2458263.96267 18.573 0.027     83.588     31.045 0 1
2458267.98179 18.623 0.101     26.091    111.871 0 1
2458270.97037 18.561 0.058     96.611     68.559 0 1
2458273.97063 18.616 0.041     34.010     45.408 0 1
2458279.96364 18.592 0.029     60.721     33.382 0 1
2458282.92831 18.702 0.029    -58.051     30.158 0 1
2458291.94750 18.615 0.023     34.836     25.567 0 1
2458303.95710 18.505 0.031    164.340     38.552 0 1
2458304.98371 18.577 0.039     78.347     44.769 0 1
2458304.98416 18.495 0.038    177.200     46.883 0 1
2458305.98609 18.507 0.052    161.917     64.123 0 1
2458313.95301 18.518 0.024    148.194     29.123 0 1
2458316.93395 18.426 0.050    266.095     66.788 0 1
2458325.95469 18.536 0.052    126.221     63.007 0 1
2458331.96969 18.633 0.063     15.817     68.765 0 1
2458334.82627 18.618 0.042     31.354     46.568 0 1
2458342.93384 18.779 0.032   -134.811     30.358 0 3
2458345.90941 18.701 0.029    -57.323     29.635 0 3
2458347.84512 18.738 0.033    -94.267     32.535 0 3
2458348.86716 18.819 0.032   -172.234     29.498 0 3
2458350.93679 18.796 0.029   -150.978     27.781 0 3
2458351.92077 18.665 0.025    -19.450     26.622 0 3
2458352.90698 18.625 0.026     23.852     29.254 0 3
2458352.90789 18.728 0.028    -84.334     28.285 0 1
2458365.80905 18.800 0.031   -155.240     29.482 0 3
2458366.91123 18.766 0.027   -122.098     26.259 0 3
2458367.81268 18.792 0.029   -147.729     27.839 0 1
2458367.81362 18.856 0.032   -206.299     28.388 0 3
2458368.87390 18.798 0.027   -153.124     25.899 0 3
2458369.82391 18.787 0.027   -142.705     25.698 0 3
2458370.86384 18.739 0.025    -95.774     25.174 0 3
2458370.86488 18.808 0.026   -161.996     24.583 0 1
2458371.84887 18.792 0.026   -146.883     25.152 0 3
2458372.78959 18.752 0.027   -108.378     26.609 0 3
2458373.87317 18.810 0.026   -164.669     24.682 0 1
2458373.87410 18.781 0.025   -136.774     23.781 0 3
2458374.78572 18.832 0.031   -184.966     28.053 0 3
2458375.80924 18.768 0.026   -123.796     24.936 0 3
2458376.82120 18.731 0.026    -87.818     25.920 0 1
2458376.82212 18.796 0.028   -150.660     26.214 0 3
2458377.85020 18.775 0.026   -131.188     24.979 0 3
2458378.83188 18.722 0.026    -78.164     25.863 0 3
2458379.84590 18.806 0.029   -160.510     27.486 0 3
2458379.84683 18.816 0.029   -170.250     26.908 0 1
2458380.87911 18.829 0.025   -181.938     23.110 0 3
2458382.89460 18.733 0.038    -89.305     37.666 0 1
2458382.91179 18.807 0.038   -161.650     35.473 0 3
2458383.93169 18.829 0.049   -181.369     44.792 0 3
2458385.85394 18.667 0.061    -21.702     64.579 0 1
2458385.85492 18.829 0.070   -182.067     64.396 0 3
2458386.68293 18.978 0.097   -309.464     77.988 0 3
2458387.76189 18.964 0.078   -298.616     63.527 0 3
2458388.81973 18.864 0.062   -213.611     55.322 0 1
2458388.82179 18.830 0.062   -182.311     56.554 0 3
2458389.85651 18.859 0.047   -209.077     42.338 0 3
2458390.82324 18.812 0.049   -166.262     45.202 0 3
2458400.78047 18.771 0.026   -127.251     25.022 0 1
2458400.78139 18.772 0.024   -127.731     23.675 0 3
2458423.75128 18.731 0.025    -87.745     25.217 0 1
2458423.75231 18.758 0.027   -114.058     26.904 0 3
2458424.69562 18.770 0.070   -126.293     67.381 0 3
2458425.68628 18.892 0.046   -237.876     40.175 0 3
2458426.72167 18.773 0.035   -128.615     33.821 0 3
2458426.72260 18.750 0.034   -106.338     33.204 0 1
2458427.69641 18.309 0.178    429.965    263.184 0 3
2458428.69948 18.688 0.028    -43.353     28.762 0 3
2458429.72500 18.722 0.027    -79.084     27.295 0 1
2458429.72593 18.713 0.028    -69.239     28.148 0 3
2458430.66805 18.637 0.025     10.676     26.956 0 3
2458438.87156 18.551 0.125    109.213    147.948 0 3
2458440.72141 18.659 0.267    -12.867    286.434 0 3
2458441.75414 18.622 0.047     26.891     52.095 0 1
2458442.74753    nan   nan  -1721.254    331.463 0 3
2458450.76585 19.138 0.455   -428.427    314.172 0 3
2458469.65502 18.609 0.036     41.860     40.240 0 3
2458469.65765 18.670 0.044    -24.487     46.711 0 1
2458472.65624 18.737 0.063    -93.479     62.597 0 3
2458472.65717 18.614 0.057     36.184     63.614 0 1
2458482.62502 18.679 0.030    -34.502     31.948 0 1
2458487.64160 18.640 0.028      7.980     30.409 0 3
2458488.64251 18.666 0.029    -20.334     30.786 0 3
2458491.63763 18.694 0.029    -49.466     29.812 0 3
2458493.65723 18.666 0.028    -20.434     29.401 0 1
2458493.66140 18.683 0.029    -38.112     30.465 0 3
2458494.65492 18.664 0.029    -18.171     30.724 0 3
2458495.66044 18.586 0.065     68.542     74.491 0 3
2458503.68208 18.583 0.064     71.688     74.031 0 1
2458503.68300 18.724 0.076    -80.684     76.988 0 3
2458505.65795 18.633 0.083     15.027     91.369 0 3
2458507.65834 18.639 0.034      8.313     36.834 0 1
2458507.65925 18.634 0.034     14.543     37.170 0 3
2458511.63512 18.595 0.033     58.030     37.771 0 3
2458618.93219 18.746 0.334   -102.907    331.025 0 1
2458618.93310 18.442 0.357    245.271    467.902 0 3
2458632.94657 18.511 0.033    157.447     40.768 0 3
2458633.97580 18.436 0.043    252.745     57.171 0 3
2458634.97011 18.445 0.029    240.446     38.401 0 3
2458635.96072 18.450 0.025    233.750     32.333 0 1
2458641.94697 18.450 0.023    234.550     29.420 0 1
2458644.94812 18.408 0.026    290.249     35.208 0 1
2458647.97367 18.449 0.053    235.958     69.635 0 1
2458650.97594 18.383 0.054    324.197     74.867 0 1
2458653.88190 18.376 0.061    334.327     84.562 0 1
2458660.95608    nan   nan        nan        nan 1 1
2458663.96329 18.410 0.025    287.934     34.140 0 1
2458666.97671 18.334 0.025    393.580     36.119 0 1
2458672.93262 18.426 0.020    266.262     27.056 0 1
2458675.95579 18.363 0.020    352.691     28.374 0 1
2458677.97757 18.340 0.022    385.070     31.910 0 3
2458678.95748 18.339 0.020    386.282     29.530 0 3
2458678.95839 18.364 0.020    351.263     28.384 0 1
2458680.97629 18.337 0.045    388.883     65.203 0 3
2458681.96832 18.314 0.040    422.403     59.202 0 3
2458681.96924 18.313 0.039    423.651     57.965 0 1
2458682.96824 18.333 0.036    395.090     52.869 0 3
2458683.97284 18.280 0.094    474.440    142.997 0 3
2458684.91147 18.306 0.036    434.405     53.268 0 1
2458684.91240 18.306 0.038    434.437     55.786 0 3
2458685.96559 18.282 0.033    470.960     50.242 0 3
2458686.97231 18.344 0.031    378.921     44.024 0 3
2458688.94783 18.348 0.027    373.090     38.281 0 1
2458688.94875 18.299 0.025    445.617     37.121 0 3
2458690.95038 18.346 0.023    377.025     33.417 0 3
2458691.95208 18.352 0.023    368.520     32.467 0 1
2458691.95299 18.320 0.021    413.821     31.261 0 3
2458693.91232 18.353 0.020    367.071     28.327 0 3
2458694.94836 18.324 0.018    408.586     26.666 0 1
2458694.94927 18.327 0.018    404.000     26.028 0 3
2458695.92383 18.339 0.020    387.057     29.335 0 3
2458696.91408 18.361 0.020    354.365     27.607 0 3
2458698.94752 18.404 0.022    294.920     29.925 0 3
2458699.94767 18.331 0.020    398.492     28.774 0 3
2458701.94618 18.282 0.025    471.195     37.409 0 3
2458703.96915 18.358 0.020    359.996     28.483 0 1
2458703.97008 18.325 0.019    406.195     28.167 0 3
2458704.93326 18.399 0.022    301.905     29.386 0 3
2458705.90725 18.345 0.020    378.306     28.463 0 3
2458706.92474 18.386 0.020    319.979     27.514 0 1
2458706.92563 18.484 0.022    191.437     28.059 0 3
2458707.92973 18.376 0.024    333.490     32.897 0 3
2458708.96926 18.358 0.026    359.611     37.000 0 3
2458709.98108 18.383 0.035    323.953     49.110 0 3
2458709.98201 18.350 0.037    371.192     52.292 0 1
2458712.97098 18.319 0.036    415.704     52.262 0 1
2458712.97287 18.419 0.043    275.910     58.029 0 3
2458713.94930 18.339 0.038    385.978     55.322 0 3
2458714.97416 18.483 0.044    191.628     55.666 0 3
2458717.89645 18.370 0.031    341.706     44.003 0 3
2458722.91260 18.397 0.021    304.960     29.001 0 3
2458723.92525 18.376 0.021    334.388     29.355 0 3
2458724.92958 18.392 0.020    311.935     27.791 0 3
2458724.93563 18.423 0.022    269.558     28.809 0 1
2458727.90729 18.412 0.021    285.280     28.210 0 1
2458727.91077 18.386 0.021    320.785     29.377 0 3
2458730.82311 18.376 0.024    334.546     33.150 0 1
2458730.82402 18.353 0.025    366.342     35.130 0 3
2458732.89412 18.399 0.021    302.466     29.267 0 3
2458734.89437 18.412 0.021    284.115     28.339 0 3
2458735.93473 18.439 0.026    248.532     34.156 0 3
