jd mag magerr filt field
2458314 19.082 0.062 zg 402
2458323 19.074 0.051 zg 402
2458330 19.162 0.124 zg 402
2458337 19.049 0.08 zg 402
2458340 19.094 0.051 zg 402
2458343 19.05 0.036 zg 402
2458345 19.141 0.044 zg 402
2458346 19.116 0.039 zg 402
2458347 19.11 0.038 zg 402
2458348 19.235 0.045 zg 402
2458349 19.085 0.04 zg 402
2458349 19.103 0.034 zg 402
2458350 19.119 0.039 zg 402
2458351 19.118 0.035 zg 402
2458352 19.212 0.039 zg 402
2458352 19.102 0.036 zg 402
2458360 19.189 0.128 zg 402
2458364 19.099 0.058 zg 402
2458365 19.18 0.045 zg 402
2458366 19.129 0.044 zg 402
2458366 19.099 0.039 zg 402
2458367 19.093 0.033 zg 402
2458368 19.079 0.033 zg 402
2458369 19.001 0.032 zg 402
2458369 19.049 0.033 zg 402
2458370 18.951 0.029 zg 402
2458371 19.111 0.036 zg 402
2458372 19.075 0.034 zg 402
2458372 19.067 0.033 zg 402
2458373 19.002 0.032 zg 402
2458374 19.111 0.037 zg 402
2458375 19.067 0.035 zg 402
2458375 19.002 0.034 zg 402
2458376 18.985 0.03 zg 402
2458377 19.066 0.037 zg 402
2458378 18.993 0.033 zg 402
2458378 19.007 0.033 zg 402
2458379 18.943 0.031 zg 402
2458382 18.974 0.029 zg 402
2458382 18.965 0.03 zg 402
2458383 19.008 0.048 zg 402
2458384 18.879 0.063 zg 402
2458385 18.932 0.082 zg 402
2458385 19.145 0.107 zg 402
2458390 18.843 0.065 zg 402
2458425 18.986 0.033 zg 402
2458428 19.007 0.034 zg 402
2458462 18.789 0.113 zg 402
2458466 19.274 0.347 zg 402
2458466 19.42 0.489 zg 402
2458469 18.853 0.057 zg 402
2458469 18.894 0.062 zg 402
2458474 19.029 0.111 zg 402
2458474 18.851 0.095 zg 402
2458475 18.923 0.108 zg 402
2458487 18.859 0.03 zg 402
2458487 18.924 0.031 zg 402
2458488 18.274 0.294 zg 402
2458491 19.006 0.041 zg 402
2458491 18.953 0.039 zg 402
2458492 18.806 0.199 zg 402
2458493 18.927 0.048 zg 402
2458494 18.974 0.04 zg 402
2458494 18.988 0.039 zg 402
2458503 18.699 0.075 zg 402
2458503 18.955 0.095 zg 402
2458507 18.941 0.037 zg 402
2458514 18.939 0.032 zg 402
2458523 18.788 0.037 zg 402
2458539 18.884 0.045 zg 402
2458693 18.976 0.039 zg 402
2458694 18.838 0.031 zg 402
2458695 18.975 0.037 zg 402
2458695 18.934 0.037 zg 402
2458696 18.932 0.036 zg 402
2458698 18.942 0.038 zg 402
2458701 18.931 0.035 zg 402
2458704 18.93 0.039 zg 402
2458707 19.004 0.036 zg 402
2458708 18.879 0.032 zg 402
2458715 18.883 0.07 zg 402
2458715 18.878 0.069 zg 402
2458718 18.967 0.067 zg 402
2458724 18.958 0.035 zg 402
2458727 18.949 0.034 zg 402
2458730 18.966 0.037 zg 402
2458732 18.953 0.033 zg 402
2458738 18.811 0.058 zg 402
2458746 19.006 0.109 zg 402
2458749 18.983 0.054 zg 402
2458751 18.975 0.036 zg 402
2458757 18.924 0.036 zg 402
2458760 19.081 0.039 zg 402
2458763 18.935 0.036 zg 402
2458769 18.896 0.137 zg 402
2458790 19.022 0.038 zg 402
2458797 19.056 0.153 zg 402
2458803 19.156 0.103 zg 402
2458806 18.97 0.054 zg 402
2458811 18.995 0.044 zg 402
2458820 18.932 0.073 zg 402
2458836 19.043 0.038 zg 402
2458850 19.064 0.053 zg 402
2458859 18.894 0.077 zg 402
2458862 18.995 0.034 zg 402
2458867 19.084 0.176 zg 402
2458871 18.916 0.04 zg 402
2458872 18.992 0.039 zg 402
2458872 18.997 0.04 zg 402
2458875 19.027 0.037 zg 402
2458875 19.035 0.036 zg 402
2458876 18.948 0.034 zg 402
2458882 18.929 0.084 zg 402
2458882 18.989 0.073 zg 402
2458885 18.948 0.086 zg 402
2458887 18.941 0.101 zg 402
2458891 19.001 0.048 zg 402
2458891 19.034 0.055 zg 402
2458892 18.925 0.042 zg 402
2458893 18.964 0.04 zg 402
2458894 19.007 0.046 zg 402
2458895 18.988 0.049 zg 402
2458898 18.987 0.05 zg 402
2458900 18.84 0.051 zg 402
2458913 18.832 0.08 zg 402
2459067 18.74 0.066 zg 402
2459068 18.648 0.054 zg 402
2459073 18.757 0.05 zg 402
2459075 18.708 0.035 zg 402
2459076 18.74 0.03 zg 402
2459076 18.743 0.029 zg 402
2459077 18.777 0.029 zg 402
2459080 18.802 0.034 zg 402
2459081 18.818 0.033 zg 402
2459081 18.794 0.033 zg 402
2459083 18.782 0.039 zg 402
2459084 18.759 0.029 zg 402
2459084 18.839 0.028 zg 402
2459085 18.785 0.029 zg 402
2459086 18.766 0.028 zg 402
2459087 18.762 0.032 zg 402
2459089 18.793 0.037 zg 402
2459089 18.777 0.034 zg 402
2459090 18.793 0.029 zg 402
2459091 18.696 0.044 zg 402
2459091 18.772 0.031 zg 402
2459092 18.809 0.067 zg 402
2459095 18.684 0.084 zg 402
2459095 19.232 0.256 zg 402
2459095 18.638 0.16 zg 402
2459107 18.802 0.04 zg 402
2459111 18.771 0.034 zg 402
2459113 18.747 0.027 zg 402
2459117 18.755 0.029 zg 402
2459120 18.609 0.05 zg 402
2459121 18.715 0.057 zg 402
2459122 18.753 0.085 zg 402
2459123 18.763 0.12 zg 402
2459130 18.724 0.04 zg 402
2459136 18.749 0.025 zg 402
2459138 18.719 0.028 zg 402
2459140 18.718 0.027 zg 402
