jd mag magerr filt field
2459084 18.523 0.024 zg 1437
2459084 18.485 0.024 zg 1437
2459089 18.439 0.036 zg 1437
2459089 18.438 0.028 zg 1437
2459090 18.424 0.047 zg 1437
2459090 18.454 0.049 zg 1437
2459137 18.403 0.03 zg 1437
2459137 18.404 0.03 zg 1437
2459139 18.383 0.022 zg 1437
2459139 18.436 0.022 zg 1437
2459145 18.337 0.022 zg 1437
2459145 18.35 0.022 zg 1437
2459150 18.445 0.061 zg 1437
2459151 18.42 0.066 zg 1437
2459165 18.301 0.021 zg 1437
2459165 18.397 0.022 zg 1437
2459183 18.399 0.069 zg 1437
2459183 18.45 0.072 zg 1437
2459425 18.158 0.05 zg 1437
2459425 18.158 0.052 zg 1437
2459426 18.16 0.021 zg 1437
2459426 18.171 0.022 zg 1437
2459438 18.122 0.02 zg 1437
2459438 18.154 0.021 zg 1437
2459452 18.125 0.027 zg 1437
2459452 18.182 0.029 zg 1437
2459454 18.118 0.023 zg 1437
2459454 18.127 0.022 zg 1437
2459455 18.186 0.023 zg 1437
2459455 18.151 0.022 zg 1437
2459462 18.156 0.018 zg 1437
2459462 18.16 0.018 zg 1437
2459478 18.103 0.072 zg 1437
2459478 18.19 0.078 zg 1437
2459480 18.212 0.054 zg 1437
2459480 18.18 0.054 zg 1437
2459521 18.18 0.019 zg 1437
2459521 18.199 0.019 zg 1437
2459523 18.221 0.03 zg 1437
2459523 18.18 0.027 zg 1437
2459525 18.217 0.02 zg 1437
2459525 18.195 0.02 zg 1437
2459527 18.213 0.019 zg 1437
2459527 18.169 0.019 zg 1437
2460123 18.603 0.029 zg 1437
2460123 18.602 0.036 zg 1437
2458362 18.301 0.027 zr 1437
2458443 18.272 0.038 zr 1437
2459061 18.169 0.025 zr 1437
2459130 18.029 0.019 zr 1437
2459130 18.043 0.02 zr 1437
2459141 18.097 0.032 zr 1437
2459153 17.902 0.055 zr 1437
2459181 17.959 0.034 zr 1437
2459181 17.947 0.033 zr 1437
2459182 17.992 0.033 zr 1437
2459182 17.955 0.031 zr 1437
2459183 17.966 0.043 zr 1437
2459183 18.012 0.042 zr 1437
2459401 17.851 0.016 zr 1437
2459401 17.821 0.016 zr 1437
2459412 17.858 0.02 zr 1437
2459412 17.854 0.019 zr 1437
2459426 17.843 0.018 zr 1437
2459426 17.871 0.02 zr 1437
2459427 17.858 0.018 zr 1437
2459427 17.819 0.017 zr 1437
2459428 17.833 0.017 zr 1437
