jd mag magerr filt field
2458364 19.726 0.101 zg 1446
2458384 19.858 0.185 zg 1446
2458390 19.699 0.133 zg 1446
2458430 19.828 0.051 zg 1446
2458734 19.353 0.045 zg 1446
2458746 19.319 0.088 zg 1446
2458746 19.32 0.089 zg 1446
2458749 19.293 0.05 zg 1446
2458749 19.291 0.05 zg 1446
2458758 19.353 0.051 zg 1446
2458758 19.326 0.047 zg 1446
2458760 19.279 0.048 zg 1446
2458760 19.295 0.05 zg 1446
2458764 19.228 0.05 zg 1446
2458764 19.308 0.055 zg 1446
2458766 19.203 0.1 zg 1446
2458766 19.112 0.098 zg 1446
2458768 19.331 0.116 zg 1446
2458768 19.273 0.112 zg 1446
2459084 18.901 0.03 zg 1446
2459084 18.871 0.03 zg 1446
2459091 18.818 0.049 zg 1446
2459091 18.895 0.054 zg 1446
2459092 18.696 0.054 zg 1446
2459092 18.881 0.063 zg 1446
2459103 18.947 0.367 zg 1446
2459120 18.865 0.058 zg 1446
2459120 18.732 0.05 zg 1446
2459121 18.726 0.06 zg 1446
2459121 18.816 0.065 zg 1446
2459122 19.007 0.105 zg 1446
2459122 18.93 0.095 zg 1446
2459128 18.819 0.076 zg 1446
2459128 18.649 0.071 zg 1446
2459129 18.76 0.045 zg 1446
2459129 18.836 0.047 zg 1446
2459130 18.754 0.04 zg 1446
2459130 18.801 0.037 zg 1446
2459131 18.822 0.045 zg 1446
2459131 18.83 0.047 zg 1446
2459135 18.877 0.027 zg 1446
2459135 18.799 0.025 zg 1446
2459136 18.797 0.024 zg 1446
2459136 18.821 0.025 zg 1446
2459137 18.8 0.027 zg 1446
2459137 18.83 0.028 zg 1446
2459906 19.132 0.04 zg 1446
2459923 19.213 0.082 zg 1446
2459923 19.238 0.087 zg 1446
2458356 19.726 0.176 zr 1446
2458357 19.717 0.145 zr 1446
2458386 19.41 0.122 zr 1446
2458423 19.788 0.084 zr 1446
2458425 19.807 0.084 zr 1446
2458429 19.799 0.084 zr 1446
2458432 19.857 0.1 zr 1446
2458741 19.095 0.108 zr 1446
2458741 19.212 0.118 zr 1446
2458748 19.107 0.053 zr 1446
2458748 19.105 0.056 zr 1446
2458761 19.145 0.053 zr 1446
2458761 19.096 0.049 zr 1446
2458773 19.115 0.095 zr 1446
2458773 19.073 0.089 zr 1446
2458774 19.081 0.115 zr 1446
2458775 19.064 0.055 zr 1446
2458775 19.083 0.055 zr 1446
2458776 18.937 0.062 zr 1446
2458776 19.0 0.059 zr 1446
2458777 19.019 0.072 zr 1446
2458777 19.068 0.071 zr 1446
2458803 19.098 0.079 zr 1446
2458803 19.061 0.073 zr 1446
2458812 19.155 0.046 zr 1446
2458812 19.105 0.043 zr 1446
2458860 18.813 0.075 zr 1446
2458860 19.031 0.086 zr 1446
2458861 19.043 0.069 zr 1446
2458861 19.017 0.063 zr 1446
2459061 18.692 0.034 zr 1446
2459091 18.655 0.037 zr 1446
2459094 18.532 0.088 zr 1446
2459095 18.815 0.082 zr 1446
2459096 18.637 0.07 zr 1446
2459096 18.822 0.092 zr 1446
2459102 18.445 0.113 zr 1446
2459874 18.99 0.032 zr 1446
2459874 18.923 0.03 zr 1446
2459896 18.955 0.065 zr 1446
2459896 18.906 0.061 zr 1446
2459903 18.946 0.041 zr 1446
2459903 18.96 0.044 zr 1446
2459910 18.907 0.038 zr 1446
2459910 18.888 0.039 zr 1446
2459913 18.981 0.047 zr 1446
2459913 18.978 0.047 zr 1446
2459913 18.889 0.045 zr 1446
2459913 18.935 0.048 zr 1446
2459933 18.97 0.045 zr 1446
2459933 19.001 0.046 zr 1446
2458323 19.728 0.076 zg 402
2458330 19.914 0.206 zg 402
2458337 19.993 0.169 zg 402
2458340 19.611 0.07 zg 402
2458343 19.711 0.057 zg 402
2458345 19.633 0.06 zg 402
2458346 19.544 0.052 zg 402
2458347 19.786 0.051 zg 402
2458348 19.652 0.051 zg 402
2458349 19.607 0.053 zg 402
2458349 19.57 0.043 zg 402
2458350 19.637 0.051 zg 402
2458351 19.68 0.044 zg 402
2458352 19.727 0.048 zg 402
2458352 19.645 0.048 zg 402
2458360 19.671 0.158 zg 402
2458364 19.59 0.074 zg 402
2458365 19.64 0.057 zg 402
2458366 19.591 0.056 zg 402
2458366 19.626 0.051 zg 402
2458367 19.681 0.05 zg 402
2458368 19.606 0.048 zg 402
2458369 19.61 0.047 zg 402
2458369 19.631 0.048 zg 402
2458370 19.612 0.047 zg 402
2458371 19.654 0.051 zg 402
2458372 19.522 0.045 zg 402
2458372 19.638 0.047 zg 402
2458373 19.579 0.046 zg 402
2458374 19.713 0.055 zg 402
2458375 19.615 0.052 zg 402
2458375 19.565 0.048 zg 402
2458376 19.637 0.048 zg 402
2458377 19.738 0.061 zg 402
2458378 19.616 0.051 zg 402
2458378 19.555 0.046 zg 402
2458379 19.569 0.047 zg 402
2458382 19.64 0.048 zg 402
2458382 19.605 0.048 zg 402
2458383 19.529 0.085 zg 402
2458384 19.824 0.152 zg 402
2458385 19.853 0.201 zg 402
2458385 19.391 0.137 zg 402
2458386 19.656 0.204 zg 402
2458390 19.769 0.138 zg 402
2458425 19.768 0.057 zg 402
2458428 19.792 0.056 zg 402
2458462 20.61 0.528 zg 402
2458466 19.217 0.471 zg 402
2458466 19.452 0.533 zg 402
2458469 19.545 0.104 zg 402
2458469 19.552 0.097 zg 402
2458474 20.004 0.263 zg 402
2458474 19.781 0.21 zg 402
2458475 19.676 0.178 zg 402
2458487 19.831 0.062 zg 402
2458487 19.726 0.058 zg 402
2458488 20.337 1.456 zg 402
2458491 19.932 0.088 zg 402
2458491 19.891 0.078 zg 402
2458492 19.553 0.326 zg 402
2458493 19.935 0.098 zg 402
2458494 19.786 0.076 zg 402
2458494 19.801 0.074 zg 402
2458503 19.739 0.181 zg 402
2458503 19.507 0.164 zg 402
2458507 19.891 0.078 zg 402
2458514 19.81 0.067 zg 402
2458539 19.925 0.098 zg 402
2458693 19.58 0.058 zg 402
2458694 19.689 0.055 zg 402
2458695 19.507 0.054 zg 402
2458695 19.467 0.053 zg 402
2458696 19.505 0.051 zg 402
2458698 19.496 0.055 zg 402
2458701 19.509 0.055 zg 402
2458704 19.488 0.057 zg 402
2458707 19.461 0.049 zg 402
2458708 19.478 0.05 zg 402
2458715 19.35 0.104 zg 402
2458715 19.358 0.101 zg 402
2458718 19.533 0.111 zg 402
2458724 19.343 0.042 zg 402
2458727 19.334 0.042 zg 402
2458730 19.255 0.043 zg 402
2458732 19.31 0.043 zg 402
2458738 19.444 0.104 zg 402
2458746 19.2 0.121 zg 402
2458749 19.236 0.067 zg 402
2458751 19.24 0.044 zg 402
2458757 19.222 0.042 zg 402
2458760 19.251 0.046 zg 402
2458763 19.236 0.044 zg 402
2458766 19.181 0.071 zg 402
2458769 19.341 0.216 zg 402
2458790 19.183 0.041 zg 402
