jd mag magerr filt field
2458207 19.008 0.113 zg 425
2458207 18.96 0.11 zg 425
2458223 18.944 0.03 zg 425
2458229 18.942 0.034 zg 425
2458243 18.919 0.029 zg 425
2458246 18.946 0.035 zg 425
2458249 18.93 0.036 zg 425
2458267 18.96 0.106 zg 425
2458270 18.881 0.067 zg 425
2458274 18.951 0.028 zg 425
2458277 18.935 0.032 zg 425
2458280 18.826 0.026 zg 425
2458283 18.937 0.03 zg 425
2458286 18.966 0.033 zg 425
2458293 18.858 0.079 zg 425
2458299 18.959 0.058 zg 425
2458302 18.927 0.035 zg 425
2458305 19.002 0.048 zg 425
2458338 18.927 0.06 zg 425
2458469 18.932 0.034 zg 425
2458472 18.885 0.042 zg 425
2458472 18.962 0.107 zg 425
2458472 19.226 0.153 zg 425
2458488 18.916 0.03 zg 425
2458495 18.972 0.031 zg 425
2458502 18.903 0.087 zg 425
2458526 19.045 0.063 zg 425
2458539 18.828 0.09 zg 425
2458543 18.897 0.031 zg 425
2458547 18.946 0.034 zg 425
2458560 18.779 0.097 zg 425
2458568 18.902 0.041 zg 425
2458581 18.928 0.034 zg 425
2458584 18.901 0.041 zg 425
2458587 18.845 0.094 zg 425
2458597 18.837 0.034 zg 425
2458600 18.888 0.032 zg 425
2458606 18.858 0.03 zg 425
2458617 18.883 0.07 zg 425
2458634 18.915 0.03 zg 425
2458634 18.923 0.032 zg 425
2458635 18.876 0.024 zg 425
2458637 18.955 0.03 zg 425
2458640 18.897 0.031 zg 425
2458643 18.937 0.04 zg 425
2458649 18.891 0.112 zg 425
2458652 18.855 0.071 zg 425
2458658 18.921 0.03 zg 425
2458667 18.878 0.035 zg 425
2458679 18.949 0.087 zg 425
2458683 18.904 0.057 zg 425
2458686 18.943 0.055 zg 425
2458692 18.831 0.046 zg 425
2458831 18.767 0.071 zg 425
2458872 18.826 0.037 zg 425
2458882 18.895 0.03 zg 425
2458884 18.849 0.057 zg 425
2458887 18.796 0.073 zg 425
2458896 18.919 0.041 zg 425
2458911 18.92 0.036 zg 425
2458915 18.93 0.065 zg 425
2458937 18.876 0.026 zg 425
2458944 18.943 0.105 zg 425
2458956 18.785 0.058 zg 425
2458963 18.94 0.03 zg 425
2458963 18.867 0.033 zg 425
2458966 18.445 0.058 zg 425
2458972 18.964 0.059 zg 425
2458977 18.766 0.197 zg 425
2458986 18.964 0.028 zg 425
