jd mag magerr filt field
2458207 17.772 0.04 zg 424
2458207 17.827 0.042 zg 424
2458230 17.8 0.013 zg 424
2458243 17.831 0.012 zg 424
2458246 17.793 0.014 zg 424
2458267 17.869 0.039 zg 424
2458270 17.783 0.026 zg 424
2458273 17.804 0.013 zg 424
2458279 17.791 0.012 zg 424
2458283 17.785 0.012 zg 424
2458286 17.827 0.015 zg 424
2458289 17.776 0.02 zg 424
2458293 17.834 0.03 zg 424
2458299 17.774 0.026 zg 424
2458302 17.79 0.014 zg 424
2458305 17.806 0.018 zg 424
2458472 17.805 0.033 zg 424
2458487 17.8 0.013 zg 424
2458495 17.812 0.011 zg 424
2458503 17.848 0.036 zg 424
2458511 17.817 0.021 zg 424
2458547 17.814 0.013 zg 424
2458561 17.799 0.043 zg 424
2458568 17.794 0.014 zg 424
2458573 17.786 0.014 zg 424
2458581 17.768 0.015 zg 424
2458584 17.83 0.018 zg 424
2458587 17.809 0.019 zg 424
2458600 17.808 0.013 zg 424
2458617 17.812 0.029 zg 424
2458634 17.81 0.012 zg 424
2458637 17.8 0.013 zg 424
2458640 17.784 0.011 zg 424
2458643 17.794 0.017 zg 424
2458651 17.825 0.04 zg 424
2458654 17.781 0.023 zg 424
2458658 17.825 0.012 zg 424
2458662 17.818 0.016 zg 424
2458667 17.813 0.013 zg 424
2458672 17.835 0.026 zg 424
2458676 17.778 0.031 zg 424
2458836 17.817 0.037 zg 424
2458857 17.798 0.014 zg 424
2458873 17.813 0.013 zg 424
2458877 17.82 0.012 zg 424
2458894 17.774 0.019 zg 424
2458898 17.808 0.01 zg 424
2458937 17.811 0.01 zg 424
2458940 17.78 0.131 zg 424
2458955 17.812 0.013 zg 424
2458963 17.817 0.012 zg 424
2458963 17.801 0.011 zg 424
2458966 17.771 0.022 zg 424
2458972 17.769 0.021 zg 424
2458976 17.854 0.04 zg 424
2458980 17.803 0.01 zg 424
2458986 17.792 0.013 zg 424
2458992 17.8 0.012 zg 424
2458995 17.802 0.012 zg 424
2458998 17.809 0.014 zg 424
2459014 17.811 0.012 zg 424
2459017 17.786 0.012 zg 424
2459020 17.779 0.011 zg 424
2459023 17.759 0.012 zg 424
2459026 17.766 0.039 zg 424
2459033 17.763 0.03 zg 424
2459039 17.805 0.019 zg 424
2459043 17.793 0.018 zg 424
2459190 17.799 0.038 zg 424
2459204 17.789 0.015 zg 424
2459217 17.816 0.032 zg 424
2459218 17.795 0.025 zg 424
2459227 17.819 0.014 zg 424
2459231 17.82 0.012 zg 424
2459251 17.812 0.013 zg 424
2459253 17.81 0.015 zg 424
2459255 17.798 0.011 zg 424
2459258 17.788 0.017 zg 424
2459264 17.821 0.011 zg 424
2459270 17.828 0.029 zg 424
2459272 17.807 0.045 zg 424
2459292 17.803 0.012 zg 424
2459304 17.788 0.039 zg 424
2459306 17.787 0.015 zg 424
2459307 17.783 0.012 zg 424
2459307 17.799 0.011 zg 424
2459308 17.838 0.012 zg 424
2459309 17.777 0.013 zg 424
2459313 17.834 0.014 zg 424
2459323 17.804 0.017 zg 424
2459325 17.807 0.018 zg 424
2459334 17.779 0.012 zg 424
2459336 17.81 0.012 zg 424
2459338 17.801 0.014 zg 424
2459340 17.804 0.013 zg 424
2459342 17.788 0.012 zg 424
2459344 17.791 0.011 zg 424
2459346 17.787 0.014 zg 424
2459348 17.801 0.011 zg 424
2459366 17.805 0.014 zg 424
2459368 17.799 0.012 zg 424
2459370 17.787 0.013 zg 424
2459374 17.831 0.013 zg 424
2459376 17.764 0.013 zg 424
2459379 17.821 0.014 zg 424
2459390 17.789 0.034 zg 424
2459392 17.823 0.034 zg 424
2459394 17.808 0.015 zg 424
2459399 17.787 0.022 zg 424
2459401 17.807 0.017 zg 424
2459641 17.808 0.011 zg 424
2459673 17.804 0.014 zg 424
2459675 17.793 0.012 zg 424
2459677 17.757 0.017 zg 424
2459679 17.773 0.016 zg 424
2459682 17.856 0.033 zg 424
2459694 17.821 0.019 zg 424
2459696 17.795 0.012 zg 424
2459699 17.771 0.016 zg 424
2459701 17.786 0.013 zg 424
2459717 17.774 0.026 zg 424
2459722 17.812 0.013 zg 424
2459724 17.788 0.013 zg 424
2459730 17.796 0.012 zg 424
2459730 17.803 0.012 zg 424
2459734 17.774 0.016 zg 424
2459736 17.832 0.016 zg 424
2459742 17.802 0.057 zg 424
2459747 17.813 0.027 zg 424
2459749 17.794 0.018 zg 424
2459751 17.822 0.016 zg 424
2459753 17.793 0.017 zg 424
2459756 17.805 0.017 zg 424
2459758 17.795 0.014 zg 424
2459761 17.798 0.019 zg 424
2459763 17.801 0.016 zg 424
2459765 17.816 0.019 zg 424
2459769 17.807 0.031 zg 424
2459771 17.86 0.042 zg 424
2459924 17.73 0.031 zg 424
2459937 17.806 0.016 zg 424
2459951 17.771 0.054 zg 424
2460032 17.776 0.015 zg 424
2460042 17.809 0.041 zg 424
2460044 17.789 0.02 zg 424
2460046 17.8 0.011 zg 424
2460050 17.803 0.013 zg 424
2460057 17.799 0.013 zg 424
2460059 17.815 0.014 zg 424
2460061 17.79 0.016 zg 424
2460063 17.766 0.02 zg 424
2460065 17.801 0.029 zg 424
2458198 17.175 0.008 zr 424
2458217 17.161 0.011 zr 424
2458218 17.158 0.01 zr 424
2458219 17.142 0.018 zr 424
2458224 17.181 0.02 zr 424
2458230 17.175 0.01 zr 424
2458231 17.146 0.01 zr 424
2458233 17.146 0.012 zr 424
2458243 17.161 0.009 zr 424
2458256 17.153 0.01 zr 424
2458256 17.174 0.009 zr 424
2458279 17.156 0.011 zr 424
2458283 17.186 0.009 zr 424
2458286 17.159 0.01 zr 424
2458289 17.184 0.015 zr 424
2458293 17.186 0.016 zr 424
2458296 17.163 0.017 zr 424
2458305 17.16 0.012 zr 424
2458312 17.21 0.013 zr 424
2458450 17.146 0.015 zr 424
2458450 17.122 0.015 zr 424
2458450 17.168 0.016 zr 424
2458450 17.164 0.016 zr 424
2458450 17.174 0.017 zr 424
2458451 17.167 0.013 zr 424
2458451 17.2 0.015 zr 424
2458451 17.189 0.015 zr 424
2458451 17.194 0.018 zr 424
2458475 17.165 0.016 zr 424
2458477 17.173 0.014 zr 424
2458488 17.173 0.009 zr 424
2458503 17.166 0.014 zr 424
2458524 17.171 0.009 zr 424
2458539 17.165 0.012 zr 424
2458543 17.143 0.01 zr 424
2458561 17.171 0.017 zr 424
2458568 17.185 0.015 zr 424
2458573 17.158 0.011 zr 424
2458584 17.173 0.011 zr 424
2458593 17.227 0.022 zr 424
