jd mag magerr filt field
2458203 19.4 0.069 zg 427
2458203 19.525 0.085 zg 427
2458206 19.372 0.096 zg 427
2458206 19.301 0.091 zg 427
2458229 19.564 0.053 zg 427
2458233 19.617 0.101 zg 427
2458236 19.405 0.211 zg 427
2458236 19.886 0.359 zg 427
2458236 19.444 0.249 zg 427
2458243 19.498 0.049 zg 427
2458267 19.538 0.266 zg 427
2458270 19.558 0.129 zg 427
2458273 19.541 0.044 zg 427
2458279 19.594 0.049 zg 427
2458282 19.672 0.056 zg 427
2458288 19.598 0.075 zg 427
2458294 19.76 0.189 zg 427
2458300 19.506 0.049 zg 427
2458305 19.504 0.061 zg 427
2458308 20.218 0.922 zg 427
2458332 19.611 0.074 zg 427
2458336 19.426 0.061 zg 427
2458349 19.236 0.134 zg 427
2458488 19.481 0.062 zg 427
2458493 19.48 0.069 zg 427
2458494 19.461 0.05 zg 427
2458495 19.435 0.053 zg 427
2458508 19.322 0.111 zg 427
2458540 19.61 0.072 zg 427
2458540 19.293 0.06 zg 427
2458544 19.617 0.157 zg 427
2458544 19.696 0.219 zg 427
2458558 19.467 0.074 zg 427
2458568 19.536 0.097 zg 427
2458568 19.313 0.076 zg 427
2458573 19.431 0.058 zg 427
2458574 19.417 0.048 zg 427
2458581 19.433 0.057 zg 427
2458581 19.372 0.049 zg 427
2458582 19.286 0.069 zg 427
2458584 19.412 0.072 zg 427
2458584 19.467 0.076 zg 427
2458585 19.304 0.063 zg 427
2458588 19.181 0.131 zg 427
2458588 19.189 0.161 zg 427
2458597 19.185 0.049 zg 427
2458597 19.305 0.051 zg 427
2458598 19.382 0.042 zg 427
2458606 19.268 0.038 zg 427
2458617 19.205 0.085 zg 427
2458633 19.202 0.04 zg 427
2458633 19.315 0.044 zg 427
2458634 19.206 0.039 zg 427
2458635 19.267 0.034 zg 427
2458636 19.266 0.035 zg 427
2458639 19.222 0.037 zg 427
2458642 19.216 0.041 zg 427
2458645 19.214 0.076 zg 427
2458649 19.086 0.138 zg 427
2458652 19.064 0.082 zg 427
2458661 19.225 0.041 zg 427
2458665 19.188 0.04 zg 427
2458668 19.214 0.035 zg 427
2458677 19.042 0.078 zg 427
2458678 19.171 0.104 zg 427
2458679 19.086 0.146 zg 427
2458680 19.112 0.107 zg 427
2458680 19.274 0.117 zg 427
2458683 19.162 0.063 zg 427
2458683 19.148 0.045 zg 427
2458686 19.145 0.057 zg 427
2458690 19.231 0.052 zg 427
2458716 19.105 0.057 zg 427
2458720 19.163 0.07 zg 427
2458726 19.115 0.083 zg 427
2458853 19.161 0.049 zg 427
2458874 19.135 0.033 zg 427
2458882 19.045 0.039 zg 427
2458887 19.012 0.093 zg 427
2458891 18.901 0.083 zg 427
2458896 19.132 0.051 zg 427
2458900 18.999 0.034 zg 427
2458913 18.982 0.034 zg 427
2458914 19.028 0.032 zg 427
2458914 18.995 0.09 zg 427
2458939 19.143 0.385 zg 427
2458939 18.988 0.162 zg 427
2458940 18.919 0.05 zg 427
2458941 18.949 0.034 zg 427
2458943 18.808 0.051 zg 427
2458943 18.781 0.047 zg 427
2458944 18.987 0.087 zg 427
2458954 18.916 0.037 zg 427
2458955 18.93 0.032 zg 427
2458963 18.802 0.027 zg 427
2458963 18.844 0.033 zg 427
2458963 18.838 0.028 zg 427
2458964 18.881 0.03 zg 427
2458965 18.828 0.027 zg 427
2458966 18.786 0.026 zg 427
2458969 18.875 0.067 zg 427
2458972 18.814 0.051 zg 427
2458980 18.872 0.065 zg 427
2458992 18.886 0.028 zg 427
2458995 18.888 0.03 zg 427
2458998 18.894 0.028 zg 427
2459001 18.657 0.057 zg 427
2459012 18.877 0.027 zg 427
2459016 18.869 0.027 zg 427
