jd mag magerr filt field
2458207 19.072 0.121 zg 426
2458207 19.085 0.123 zg 426
2458223 18.978 0.032 zg 426
2458229 19.013 0.039 zg 426
2458233 18.968 0.063 zg 426
2458243 18.895 0.029 zg 426
2458246 19.001 0.036 zg 426
2458249 19.025 0.039 zg 426
2458262 18.992 0.074 zg 426
2458267 18.986 0.159 zg 426
2458273 18.991 0.031 zg 426
2458279 18.899 0.03 zg 426
2458282 18.926 0.034 zg 426
2458294 19.066 0.114 zg 426
2458300 18.938 0.053 zg 426
2458303 19.009 0.031 zg 426
2458333 18.95 0.053 zg 426
2458336 18.948 0.046 zg 426
2458488 19.01 0.038 zg 426
2458488 18.927 0.039 zg 426
2458492 18.922 0.041 zg 426
2458493 18.926 0.032 zg 426
2458494 19.011 0.032 zg 426
2458495 18.907 0.03 zg 426
2458495 19.016 0.037 zg 426
2458502 18.971 0.159 zg 426
2458502 19.17 0.207 zg 426
2458508 18.983 0.081 zg 426
2458508 18.899 0.072 zg 426
2458539 18.703 0.179 zg 426
2458544 18.991 0.055 zg 426
2458560 18.975 0.112 zg 426
2458568 18.862 0.057 zg 426
2458582 18.998 0.039 zg 426
2458585 18.894 0.038 zg 426
2458588 18.877 0.068 zg 426
2458594 19.055 0.155 zg 426
2458597 18.946 0.04 zg 426
2458606 18.899 0.028 zg 426
2458617 18.936 0.074 zg 426
2458628 18.92 0.032 zg 426
2458633 18.86 0.031 zg 426
2458634 18.882 0.032 zg 426
2458634 19.002 0.033 zg 426
2458635 18.923 0.028 zg 426
2458637 18.941 0.031 zg 426
2458640 18.969 0.034 zg 426
2458643 18.984 0.047 zg 426
2458649 18.92 0.116 zg 426
2458652 18.86 0.067 zg 426
2458667 18.86 0.032 zg 426
2458670 18.992 0.047 zg 426
2458673 18.982 0.064 zg 426
2458677 19.009 0.084 zg 426
2458680 18.665 0.088 zg 426
2458683 18.87 0.055 zg 426
2458683 18.979 0.046 zg 426
2458686 18.925 0.038 zg 426
2458686 18.882 0.039 zg 426
2458692 18.955 0.048 zg 426
2458853 19.001 0.041 zg 426
2458856 18.952 0.042 zg 426
2458874 18.943 0.031 zg 426
2458877 18.982 0.031 zg 426
2458896 19.0 0.044 zg 426
2458900 18.98 0.034 zg 426
2458914 18.9 0.091 zg 426
2458937 18.988 0.03 zg 426
2458940 18.904 0.043 zg 426
2458944 18.965 0.086 zg 426
2458954 19.002 0.042 zg 426
2458963 18.934 0.034 zg 426
2458969 18.832 0.049 zg 426
2458972 18.903 0.06 zg 426
2458980 18.948 0.027 zg 426
2458986 18.968 0.03 zg 426
2458992 18.979 0.031 zg 426
2458995 18.923 0.034 zg 426
2458998 18.834 0.034 zg 426
2459012 18.934 0.027 zg 426
2459018 18.907 0.03 zg 426
2459024 18.92 0.028 zg 426
2459027 18.968 0.057 zg 426
2459032 18.8 0.08 zg 426
2459036 18.864 0.055 zg 426
2459040 18.964 0.033 zg 426
