jd mag magerr filt field
2458207 19.583 0.189 zg 424
2458207 19.711 0.233 zg 424
2458230 19.628 0.063 zg 424
2458243 19.641 0.059 zg 424
2458246 19.414 0.051 zg 424
2458267 19.526 0.18 zg 424
2458270 19.371 0.101 zg 424
2458273 19.563 0.055 zg 424
2458279 19.465 0.047 zg 424
2458283 19.536 0.051 zg 424
2458286 19.5 0.057 zg 424
2458289 19.511 0.086 zg 424
2458293 19.613 0.146 zg 424
2458299 19.415 0.103 zg 424
2458302 19.462 0.061 zg 424
2458305 19.5 0.078 zg 424
2458472 19.649 0.165 zg 424
2458487 19.582 0.058 zg 424
2458495 19.503 0.046 zg 424
2458503 19.263 0.13 zg 424
2458511 19.459 0.087 zg 424
2458547 19.501 0.054 zg 424
2458561 19.409 0.18 zg 424
2458568 19.578 0.064 zg 424
2458573 19.623 0.064 zg 424
2458581 19.618 0.07 zg 424
2458584 19.351 0.065 zg 424
2458587 19.433 0.08 zg 424
2458596 19.533 0.064 zg 424
2458600 19.617 0.059 zg 424
2458617 19.472 0.127 zg 424
2458634 19.4 0.047 zg 424
2458637 19.53 0.053 zg 424
2458640 19.52 0.049 zg 424
2458643 19.524 0.077 zg 424
2458651 19.397 0.176 zg 424
2458654 19.434 0.103 zg 424
2458658 19.493 0.049 zg 424
2458662 19.411 0.064 zg 424
2458667 19.489 0.057 zg 424
2458672 19.516 0.123 zg 424
2458676 19.541 0.155 zg 424
2458836 20.071 0.299 zg 424
2458857 19.578 0.063 zg 424
2458873 19.506 0.06 zg 424
2458877 19.584 0.05 zg 424
2458894 19.518 0.092 zg 424
2458898 19.59 0.045 zg 424
2458937 19.51 0.044 zg 424
2458955 19.639 0.058 zg 424
2458963 19.509 0.052 zg 424
2458963 19.477 0.047 zg 424
2458966 19.5 0.09 zg 424
2458972 19.548 0.106 zg 424
2458976 19.518 0.198 zg 424
2458980 19.524 0.042 zg 424
2458986 19.57 0.053 zg 424
2458992 19.617 0.051 zg 424
2458995 19.545 0.051 zg 424
2458998 19.569 0.063 zg 424
2459014 19.535 0.051 zg 424
2459017 19.477 0.046 zg 424
2459020 19.561 0.05 zg 424
2459023 19.516 0.054 zg 424
2459026 19.295 0.182 zg 424
2459033 19.992 0.217 zg 424
2459039 19.392 0.078 zg 424
2459043 19.494 0.078 zg 424
2459190 19.872 0.272 zg 424
2459204 19.605 0.073 zg 424
2459217 19.653 0.164 zg 424
2459218 19.579 0.121 zg 424
2459227 19.395 0.058 zg 424
2459231 19.525 0.05 zg 424
2459251 19.476 0.054 zg 424
2459253 19.522 0.067 zg 424
2459255 19.667 0.051 zg 424
2459258 19.618 0.079 zg 424
2459264 19.563 0.05 zg 424
2459270 19.689 0.148 zg 424
2459272 19.266 0.174 zg 424
2459292 19.501 0.052 zg 424
2459304 19.589 0.211 zg 424
2459306 19.452 0.064 zg 424
2459307 19.513 0.05 zg 424
2459307 19.525 0.044 zg 424
2459308 19.687 0.058 zg 424
2459309 19.562 0.058 zg 424
2459313 19.504 0.062 zg 424
2459323 19.566 0.079 zg 424
2459325 19.594 0.086 zg 424
2459334 19.466 0.049 zg 424
2459336 19.495 0.048 zg 424
2459338 19.532 0.057 zg 424
2459340 19.521 0.053 zg 424
2459342 19.421 0.047 zg 424
2459344 19.512 0.045 zg 424
2459346 19.73 0.074 zg 424
2459348 19.548 0.046 zg 424
2459366 19.492 0.057 zg 424
2459368 19.506 0.049 zg 424
2459370 19.572 0.058 zg 424
2459374 19.5 0.053 zg 424
2459376 19.504 0.059 zg 424
2459379 19.701 0.071 zg 424
2459390 19.662 0.181 zg 424
2459392 19.221 0.115 zg 424
2459394 19.493 0.069 zg 424
2459399 19.668 0.105 zg 424
2459401 19.473 0.07 zg 424
