jd filt fluxerr adjflux
2458329 zg 8.933013017399357 133.5994859063373
2458336 zg 5.827003530821588 126.34077338023023
2458342 zg 5.352236165110337 123.72381510900172
2458345 zg 2.9567546302400034 112.61357535044134
2458345 zg 3.1770554083716713 110.47768706675402
2458346 zg 3.4149159679964485 106.39637809740091
2458347 zg 2.2237998098691776 104.95796125114245
2458348 zg 2.354355849820556 108.90777277190946
2458348 zg 2.27774589478391 106.34431210891121
2458349 zg 2.7392505905579623 106.10168957804099
2458350 zg 2.8385308487549854 105.63309315178587
2458351 zg 2.082858469678848 103.68499976436632
2458351 zg 2.0697335650535744 104.46080960962102
2458352 zg 2.1247019132481832 100.21935589247244
2458360 zg 6.789323886383298 89.97756632336831
2458360 zg 6.961900386963383 89.67389714028911
2458361 zg 5.371451258736779 86.70950387123436
2458364 zg 4.342021160115423 90.89401688528434
2458364 zg 3.9718415611391538 91.82912337583434
2458365 zg 2.786120969464647 79.97853861765431
2458366 zg 2.35775138678118 87.86259972766246
2458367 zg 2.0928744027859447 81.83042950885593
2458367 zg 2.1471980547373373 80.20222972951359
2458368 zg 1.9791191145140534 76.35265471313312
2458369 zg 2.3599239564113654 84.5684793170706
2458370 zg 2.2724692170693674 81.54635409366271
2458370 zg 2.272332778703007 80.53632928925444
2458371 zg 2.185103964775131 76.64204936141721
2458372 zg 2.033829033468874 78.13924211947986
2458373 zg 2.3338445907596124 78.70564809134055
2458373 zg 2.1834495731003103 77.41540365489728
2458374 zg 2.2925269128220096 82.3124759756422
2458375 zg 2.2258980682621363 72.46186260346066
2458376 zg 2.028615721451156 71.84884939569685
2458376 zg 2.0694729809457684 73.83195356302545
2458377 zg 1.9618227236199899 70.30464360543638
2458378 zg 2.239226416713466 72.6431280705302
2458379 zg 2.0892951055613307 70.33079880321861
2458379 zg 2.255276459999482 74.16509594850143
2458382 zg 1.9369323056585566 65.99596241555012
2458382 zg 2.234599961132165 70.8836644075852
2458383 zg 2.7165348792850734 63.7290683898386
2458384 zg 4.524648823665897 70.27904153342814
2458384 zg 8.396124624495338 89.04450904899508
2458385 zg 6.178567429449776 73.90613849291114
2458385 zg 6.725104749655391 62.49286610981943
2458387 zg 8.78931451290456 62.789207924967926
2458388 zg 6.571910483423094 69.29774001643861
2458388 zg 7.040146523287638 52.797749122132146
2458425 zg 2.1242214349563793 38.46816535925482
2458428 zg 2.01678573391622 35.49329032188816
2458430 zg 2.183200481470046 36.370750905561664
2458441 zg 5.707893484963767 28.976375842262456
2458443 zg 8.487419152799271 29.144926786367446
2458450 zg 7.305836204372453 33.235821302544416
2458462 zg 4.842651039394151 18.299075945028804
2458474 zg 10.434587300461452 14.616272907840656
2458487 zg 2.682439418930185 18.107275156094964
2458493 zg 2.32009235260251 15.058473152851024
2458494 zg 2.611149656999814 12.8887760043596
2458494 zg 2.765131446918269 14.243428421321541
2458495 zg 3.650563592100434 11.599479861386264
2458514 zg 3.5591348117435118 5.816509623789253
2458539 zg 2.8025945792186 2.473519047255179
2458694 zg 3.008527188183644 7.858705124088277
2458698 zg 3.5328146661892013 -2.4318140414888036
2458701 zg 15.947128268348534 -15.999813079491933
2458705 zg 2.751019180974837 0.5322514463870869
2458708 zg 5.605069672262752 -3.5787411532222304
2458715 zg 5.865060198773882 2.7867751803427754
2458720 zg 5.1535399840656195 -3.7432161801187918
2458722 zg 2.478974760416596 4.954629737436471
2458725 zg 2.467049131230284 2.69161571368538
2458730 zg 2.8683474936385256 3.1632780791012562
2458732 zg 2.8721027244863295 -3.3588998608446214
2458734 zg 2.7349117761919706 -4.07381337892012
2458734 zg 2.857123545631119 2.5623640275323347
2458735 zg 2.7342093490778216 0.7355975456753
2458738 zg 4.374110562216153 3.667684718778721
2458743 zg 10.76170722768283 -3.1954016494594737
2458743 zg 11.271016087799303 -10.899415958401445
2458744 zg 9.19243094042338 10.030219214163386
2458749 zg 3.3779163479825014 -5.991806244272345
2458749 zg 3.208499152711214 -1.9755161681218263
2458750 zg 3.902844202149777 2.410057963613848
2458752 zg 2.6533339620906986 -0.8199855522528736
2458752 zg 2.733562576841062 0.7384621821333823
2458756 zg 2.4845811118255994 -3.1124269750675486
2458758 zg 2.56662956343926 0.28996199451445026
2458758 zg 2.6346869494517464 -0.655996311864036
