jd filt fluxerr adjflux
2458206 zg 5.68880675810037 12.467467719552289
2458206 zg 5.584445042361285 14.5237293634937
2458209 zg 11.667716633864082 18.593088746109082
2458230 zg 3.8407040346815196 6.013634822971934
2458233 zg 5.1616309262315925 14.360638689555945
2458236 zg 9.726308312410204 6.717944150614416
2458236 zg 9.564784626167041 4.347668979014246
2458244 zg 3.4478942771965295 10.567741526651675
2458247 zg 2.29493280105733 18.8900427027771
2458269 zg 9.55146373679006 24.194408451050002
2458272 zg 4.543514474374383 15.121529728083427
2458275 zg 2.124729525796309 16.6173833008834
2458278 zg 2.472212429899587 20.574321519737886
2458281 zg 2.4675147681893255 14.213132650934796
2458284 zg 2.3982021371280373 20.37418592364745
2458287 zg 2.597588688998406 23.37756117109902
2458290 zg 4.308747254405982 26.540694732368895
2458296 zg 8.144770964878589 19.29769644852208
2458300 zg 2.915225170259562 24.192345927885
2458303 zg 2.3598561234543043 30.638981128308384
2458306 zg 2.7689457226610514 31.134820770030604
2458316 zg 5.266706945396408 23.785746957080583
2458331 zg 6.564592832028678 42.09121818566003
2458334 zg 2.9806108125258013 38.499218733384474
2458337 zg 2.6095786136163523 43.60291081603564
2458345 zg 3.1987315839595 47.254979406273286
2458494 zg 3.258908035044507 149.5276983011882
2458560 zg 4.685896092684191 173.8140084145624
2458568 zg 6.3517678114805625 171.71805582900342
2458573 zg 3.103645463985633 175.6416235044254
2458577 zg 3.615179973275408 177.53394363761132
2458581 zg 3.102964340106136 169.12639451636431
2458584 zg 2.7942146197866893 351.00929659479584
2458587 zg 8.826876299192165 186.2717168652896
2458591 zg 18.138787327546844 176.19766637908594
2458598 zg 8.233853918125194 148.81775542541703
2458606 zg 2.4086102820389104 165.00987978545382
2458617 zg 4.9385167559609116 160.96487590353587
2458636 zg 2.186269283027756 146.94467392723348
2458639 zg 2.5508550778111267 148.90383082020065
2458642 zg 2.278691464488096 145.03783475496652
2458646 zg 5.29021914915318 137.269943481261
2458651 zg 13.249613819120572 130.65240899338514
2458654 zg 5.410038804611669 142.6783602748031
2458657 zg 2.8168932201781267 144.14833607771442
2458665 zg 2.3777729630912443 129.51194649521244
2458672 zg 3.0879619000498852 133.49799143390854
2458682 zg 4.929590472964406 140.9423572138906
2458685 zg 2.422622719030757 125.15068721727036
2458692 zg 3.0591430582542127 128.8258002655582
2458708 zg 6.647062809595295 128.682071504512
2458715 zg 3.468780224454531 115.34512395584352
2458718 zg 3.202548302808206 112.55228136819217
2458728 zg 4.288950359034216 112.02427447588835
2458729 zg 7.5454959560740935 114.20096221144001
2458734 zg 8.697231203768427 110.84424837028051
2458761 zg 9.70484567188044 95.72720113774838
2458893 zg 5.798154135845618 67.44521972488097
2458901 zg 7.38227591943186 53.818313604403286
2458913 zg 2.3876019244464595 59.79205932792822
2458915 zg 5.491877667055878 64.74504857012079
2458944 zg 4.768530898791973 48.062368795403
2458954 zg 3.146992361390822 50.76669452351093
2458963 zg 2.485161434205689 47.301089200593
2458963 zg 2.7870397721877964 49.01914394867534
2458972 zg 4.706835498820395 49.19495830598399
2458975 zg 10.950012041335567 51.57585960694983
2458978 zg 19.149256960659077 41.95133667919891
2458986 zg 2.3061392399400327 48.1932449293303
2458995 zg 2.51046751137322 42.88515565039801
2459016 zg 3.4110014413629233 35.770253060218565
2459019 zg 2.268316505771374 44.049209734131715
2459022 zg 2.3505090099885058 40.8754425667209
2459025 zg 2.4215058666271667 45.85331234011056
2459028 zg 4.003450152077247 36.632121560999465
2459033 zg 8.383884395637882 45.616446850565666
2459036 zg 5.662042983291462 39.237871949693044
2459039 zg 2.243384180188562 40.64155582456813
2459042 zg 2.354842797935141 38.34306492686857
2459051 zg 4.137868946066846 40.34152292750842
2459064 zg 11.095523635287066 17.1618974347114
2459233 zg 3.1915362888984142 29.916314121871324
2459254 zg 2.581426479602957 15.721508068934401
2459268 zg 3.1513599327028836 23.739920866790442
2459275 zg 7.961622493915791 8.546145655965901
2459291 zg 2.2976587402518116 18.200213127132972
2459301 zg 7.67968727529244 -3.420311440876688
2459302 zg 11.069895865160015 16.208429618379938
2459307 zg 3.950877992918009 20.85038892055721
2459309 zg 3.1584361739005904 18.795056966391353
2459311 zg 2.3787632443224003 12.941235069635301
2459313 zg 3.8676384088251896 14.966496041255454
2459316 zg 2.0930035901577004 16.11050534172557
2459319 zg 2.842957612234617 22.810322783672994
2459324 zg 3.2983420288168386 17.085790542250713
2459334 zg 6.641823022763595 9.862319534918287
