jd filt fluxerr adjflux
2458207 zg 9.568292109257905 -5.571059266316677
2458207 zg 10.278482959986123 -8.59544990671061
2458230 zg 3.2457358366698195 13.381784299717097
2458243 zg 3.1183482154405096 57.76654098365675
2458246 zg 3.1917565989469328 67.02959190724076
2458267 zg 9.926835877299048 159.04811441054233
2458270 zg 6.458841177889118 163.9479985275425
2458273 zg 3.005554515807571 152.92244619232895
2458279 zg 2.7754405208234196 150.80672664532457
2458283 zg 3.041757655523543 147.35297920807372
2458286 zg 3.290888519893099 143.97565894751054
2458289 zg 4.857020911440985 143.6617418067591
2458293 zg 7.048097987015452 143.2771508003635
2458299 zg 5.98135786254401 124.35947820359002
2458302 zg 3.6080726770704454 134.8769901110312
2458305 zg 4.278225015412822 132.0969293594332
2458472 zg 8.326321562470259 59.10394747298016
2458487 zg 3.226447552005985 63.515207502716265
2458495 zg 2.4864196769681146 52.16972165804172
2458503 zg 8.861222028060197 55.355948152986386
2458511 zg 4.683865652651903 39.505472540728334
2458547 zg 3.116231870939927 37.50809787890381
2458561 zg 11.095043779339402 40.19076725357012
2458568 zg 3.6630423319034104 45.50847668685398
2458573 zg 3.3115381677820994 41.85971847181861
2458581 zg 3.4552165950097993 28.443818916800396
2458584 zg 3.972463909713195 37.691316959179794
2458587 zg 5.073453134835194 32.034458098199316
2458600 zg 3.005554515807571 29.419329951576625
2458617 zg 7.588045432384812 20.62109765879666
2458634 zg 3.0069154992851366 31.723604890487774
2458637 zg 3.1595829745415087 25.022833650526646
2458640 zg 2.8270398125671687 28.95932223825767
2458643 zg 4.231200669943657 23.30294258673909
2458651 zg 10.848757992175774 16.04349012811109
2458654 zg 5.530332196618906 16.73475185342888
2458658 zg 2.9115296936065342 23.832361561650476
2458662 zg 3.690285444819974 15.93623734416137
2458667 zg 3.370646211444882 24.76201471042056
2458672 zg 6.629367655279236 12.859749423683521
2458676 zg 7.999670609021345 41.60170818481947
2458836 zg 9.808275456532964 -2.2553609483723243
2458857 zg 3.459727850477856 8.719076430241763
2458873 zg 3.3716457457142277 4.2124657755470984
2458877 zg 2.824367618684997 3.6462217834008595
2458894 zg 5.1880533060153295 13.43451576916517
2458898 zg 2.4298218552501654 3.3834150348824767
2458937 zg 2.3941472087221527 8.43780092427324
2458940 zg 26.55432682693171 6.389425519327475
2458955 zg 2.879527454906462 3.8904506982676743
2458963 zg 2.906171394401399 5.052202118417454
2458963 zg 2.76523423229413 4.913876715378733
2458966 zg 4.949991232526992 4.007810745286581
2458972 zg 5.931318143942916 7.894867189653031
2458976 zg 11.371589702642074 -3.62080175705906
2458980 zg 2.5117385666588037 5.871236627421245
2458986 zg 2.86636785389273 9.828416964001658
2458992 zg 2.7130358333534446 9.11629537456354
2458995 zg 2.62939316636317 4.268179853698007
2458998 zg 3.254091533709648 7.559050755745808
2459014 zg 2.7272937962768684 1.6591439591488442
2459017 zg 2.6366684947822487 4.211370168222582
2459020 zg 2.8928900290986728 10.526712672715414
2459023 zg 3.050173964730655 3.952305072006438
2459026 zg 10.052952220179279 29.408359061560198
2459033 zg 7.830289130962294 13.636317124979392
2459039 zg 4.422457039324997 8.007894663866026
2459043 zg 4.416232273974526 2.883888469315765
2459190 zg 13.237963568621943 16.36539128258541
2459204 zg 4.0203138705718695 6.9331464916257035
2459217 zg 8.199300145954163 7.1171329616777
2459218 zg 6.497023576094237 7.685893582033677
2459227 zg 3.6279867568727315 -3.248168641702642
2459231 zg 2.887494885640746 0.12096110053397435
2459251 zg 3.104772370597434 -2.741134128165608
2459253 zg 3.914021290199299 -7.664630804468185
2459255 zg 2.557734902797895 -3.1714368237114376
2459258 zg 4.069114652613737 2.9945548595765823
2459264 zg 2.7272937962768684 -1.331036587710274
2459270 zg 7.519289131267473 -6.195957016683121
2459272 zg 12.049838188071044 6.314086394188985
2459292 zg 2.9807435287251476 -2.443166665261124
2459304 zg 11.168236475279544 -11.817492465136823
2459306 zg 4.264058788403423 4.701171191896641
2459307 zg 2.7959662490396977 2.158834585273887
2459307 zg 2.557734902797895 -3.466023758399025
2459308 zg 2.916897872260089 1.1784261271496355
2459309 zg 3.1450660094302707 -1.1694261891908049
2459313 zg 3.59811696449697 0.5993667954411328
2459323 zg 4.059416594814577 -7.525935341340695
2459325 zg 4.379486416455462 8.787805905309604
2459334 zg 3.081979637003393 -4.2635896183978526
2459336 zg 2.6824517850259166 -4.138223288172941
2459338 zg 3.2457358366698195 -2.934713615776066
2459340 zg 2.9344357821950364 -4.957877170782069
2459342 zg 2.982093277223183 4.393806605029304
2459344 zg 2.4932994087514824 0.5986039016438713
2459346 zg 3.606134639510492 6.8102345674768605
2459348 zg 2.518688353860305 2.113546473221067
2459366 zg 3.1133630366688068 -2.9115795498412256
2459368 zg 2.7933922545077197 1.7561596096414465
2459370 zg 3.167558247443747 6.428644974343357
2459374 zg 2.930361661101938 1.5946522860049959
2459379 zg 3.5272962577703932 3.2606618065695643
2459390 zg 8.313363773055348 8.387504974392034
2459392 zg 8.249578584869125 -3.1382318122890553
2459394 zg 3.972463909713195 4.058760612566747
2459399 zg 4.846234552669696 -3.835559573186089
2459401 zg 4.079652609791186 -2.353580817533086
2459641 zg 2.5695408706969403 -3.6145463247787757
2459673 zg 3.3468938431324755 -5.123835778681711
2459675 zg 3.079142335681877 -5.125512870080571
2459677 zg 4.274286438614899 -0.7793931001845338
2459679 zg 4.012914995449822 5.123396399000517
2459682 zg 8.602010512217786 -17.063376771214486
2459694 zg 4.379776078844384 -1.8918660194554082
2459696 zg 3.0166478099020075 -1.6193922907888125
2459699 zg 3.8024690962057717 2.4084355667840422
2459701 zg 3.3924477750806026 2.9713250542937257
2459717 zg 7.11120447217693 10.340947983521348
2459722 zg 3.0983081524639617 2.392272335637268
2459724 zg 3.3152262359574864 -0.5381078788023459
2459730 zg 3.061431946128753 0.5671587448750848
2459730 zg 2.7985426154003394 1.4044059991201983
2459734 zg 3.6247267838570085 0.8431961004835689
2459736 zg 3.6887164875908236 3.514100310749314
2459742 zg 14.976135793243314 -9.134534753157181
2459747 zg 6.424802185367755 1.1143833609503395
2459749 zg 3.9907999700089323 4.217286193856154
2459751 zg 3.736506078516084 -0.27823108312150174
2459753 zg 3.980154464934636 -1.5197336275175959
2459756 zg 4.089437948584064 -7.307706507942672
2459758 zg 3.6280668185071607 0.9684761183745338
2459761 zg 4.59214791919313 0.548769736773159
2459763 zg 3.757211933885288 0.5476756975933152
2459765 zg 4.850700155815512 -4.246201933185377
2459769 zg 7.86856775409762 7.664953614575202
2459771 zg 9.584660442141022 4.776294388399342
2459924 zg 8.847010274295071 -27.452158955283437
2459937 zg 3.9761243696309103 3.5763817057958738
2459951 zg 13.983810634935788 9.212057126382911
2460032 zg 3.8788226846018716 -5.400846039332073
2460044 zg 4.940613104711467 7.148158332477625
2460046 zg 2.660308025450949 -6.203144064511657
2460050 zg 3.081233491352731 1.4406165748020001
