jd filt fluxerr adjflux
2458207 zg 9.345005738297582 -3.1834292736886467
2458207 zg 8.834560630222704 -3.2570676523839435
2458223 zg 2.680965516724441 1.0729596000799404
2458229 zg 3.1811484505938292 -0.32039931503400293
2458233 zg 5.190829008293997 -2.700235775206708
2458243 zg 2.660602662292803 10.08727244232092
2458246 zg 2.7568096497192247 0.8392393497919182
2458249 zg 3.2915975265550874 3.1973593665018116
2458262 zg 5.920633185822179 0.27813652668161826
2458267 zg 12.615618766897905 -13.767190547618446
2458273 zg 2.688611207326031 0.5858429513421299
2458279 zg 2.594987488270323 1.3187491822020079
2458282 zg 2.672327964041189 2.6197680764240636
2458294 zg 8.847989374485326 -21.799959930118344
2458300 zg 4.893952819667522 -0.7481039822997742
2458303 zg 2.868302211280987 1.0748471920531149
2458333 zg 4.8011307735697475 1.2907936391184651
2458336 zg 3.9652673500401265 3.4765966303593725
2458488 zg 3.207197350204353 -4.43865336429457
2458488 zg 3.473857040284138 2.0434550063822097
2458492 zg 3.8544278280413726 1.0670999213166144
2458493 zg 2.9149410920459897 2.6421623694723166
2458494 zg 2.697639649873961 -0.21814402488235785
2458495 zg 2.5828228154098842 -1.958825577075433
2458495 zg 3.0871655422798026 2.44278397466322
2458502 zg 14.204269206252587 9.345877904204478
2458502 zg 14.830709231191149 -11.575557139947332
2458508 zg 7.30074398310677 0.5263889510581157
2458508 zg 6.445604038957828 1.2658259488847428
2458539 zg 17.410483890178046 3.6964038743866734
2458544 zg 4.487189740612668 4.252633777747887
2458560 zg 9.2912741986675 18.140554723570492
2458568 zg 5.629617473364662 -9.835788469056366
2458582 zg 3.105267752369269 -2.044234663512925
2458585 zg 3.6582962867518867 2.8538411956988834
2458588 zg 6.147914033760773 0.7167557822185369
2458594 zg 12.02080767192264 5.64905640306779
2458597 zg 3.54481184315234 0.3278293747107465
2458606 zg 2.6702039768349612 -4.827795559098985
2458617 zg 6.280921353474117 -1.9882406049130084
2458628 zg 2.6431902696600993 3.9136638996122888
2458633 zg 3.0508784672775677 -2.1439805009362596
2458634 zg 2.7538299793651353 -5.727011386387934
2458634 zg 2.857190211814564 -1.205282218116341
2458635 zg 2.3614832936156342 1.7996857419523193
2458637 zg 2.802334358737273 -0.68696918380344
2458640 zg 3.0491611129808027 5.575835353032719
2458643 zg 4.1109839099208045 -1.978691165010655
2458649 zg 10.504943689819234 12.566717249610345
2458652 zg 6.0911316525555845 -1.130897980432855
2458667 zg 3.024631522677762 -5.025872799824674
2458670 zg 4.072310061384895 3.4337718789861595
2458673 zg 5.645862303889398 1.789190638498046
2458677 zg 7.780529090799988 -3.1543426771376026
2458680 zg 10.179352104935923 -14.29753489993688
2458683 zg 5.061266876960549 1.2045315803556818
2458683 zg 3.8531720387495203 7.899912297169709
2458686 zg 3.5559775944195273 8.945979383627227
2458686 zg 3.654903039900142 3.357155440082065
