jd filt fluxerr adjflux
2458207 zg 9.028171219212272 8.100969778665025
2458207 zg 9.372859458481354 14.752714801832845
2458223 zg 2.8365679267748183 2.7193772362406996
2458229 zg 3.2655087388640136 -4.451479554820027
2458243 zg 2.8391817058891986 1.822834502157763
2458246 zg 3.22070427929102 5.775459860798811
2458249 zg 3.262502478813181 -1.4138014202101457
2458267 zg 9.525152405977868 -1.178116214797136
2458270 zg 6.051344910452946 7.280480399676525
2458274 zg 2.6547887256826064 -4.5443378764359865
2458277 zg 3.104716227402243 6.582987859016311
2458280 zg 2.5967489496017313 1.2633507935906425
2458283 zg 2.8417978934920765 3.8110712582842363
2458286 zg 3.0368400032455587 4.780414523240936
2458289 zg 6.072686284095966 7.946287110595468
2458293 zg 7.101768903758669 -5.358599147769306
2458299 zg 5.349336608288717 -7.520865876232975
2458302 zg 3.274544150089131 -1.5941942553554247
2458305 zg 4.390491802845565 -7.082484960786834
2458338 zg 4.622482513285346 -0.3390284874070376
2458472 zg 4.0786949358737346 -1.0400067869188951
2458472 zg 10.273771977747064 18.787588328615858
2458472 zg 10.643013632522397 4.492353209223286
2458488 zg 3.2088605964971295 -1.9640514932224145
2458492 zg 3.649686237553897 4.416835498784902
2458495 zg 3.0904513520953896 3.109292824156317
2458502 zg 8.980448134000856 1.08735445151388
2458526 zg 5.437799415061537 -2.5277849949289366
2458539 zg 9.850533688574536 1.5646415979052757
2458543 zg 2.929691638695398 -0.12474197304234351
2458547 zg 3.31093649055685 -7.75122447984326
2458560 zg 11.632736826269648 18.301058052170262
2458568 zg 4.538508682839709 2.8366880747184595
2458581 zg 3.3757823178601813 3.7625468437773475
2458587 zg 6.3540687170421215 10.633953039936435
2458597 zg 3.5436884239847775 4.003788069286141
2458600 zg 3.3080680441698895 0.9597171102976189
2458606 zg 2.8786786577763364 -3.2404230631855375
2458617 zg 6.118193153021527 -0.9916353669834821
2458634 zg 3.2266425034484065 -0.797810347757459
2458634 zg 3.202955097672441 4.801192732705285
2458635 zg 2.657235002839864 -2.858453910894553
2458637 zg 2.9841586728292864 -4.482850599828009
2458640 zg 3.3231569284243228 4.932497305408453
2458643 zg 4.120227758397607 3.880426346827704
2458649 zg 9.477750517062338 -6.1269627766608314
2458652 zg 6.2611182663949885 12.701383883201201
2458658 zg 2.995172996345312 -5.054790728632902
2458667 zg 3.304843134062983 -2.4509001569225695
2458679 zg 7.522495216859883 -2.3303591016443144
2458683 zg 4.998799216717695 -0.7288803702748028
2458686 zg 4.849257843347591 3.658360880668101
2458692 zg 4.824384768168923 2.954993075820699
2458831 zg 7.7824160165005685 1.7429358487167212
2458872 zg 3.5371667172313805 -3.808854490157798
2458882 zg 3.006227972968555 -6.732934703226611
2458887 zg 7.085359984653147 -0.2816683597945548
2458896 zg 3.920317341497116 6.552162090004052
2458911 zg 3.4417112707842272 26.148613415059252
2458915 zg 5.742485758915507 25.352024751852035
2458937 zg 2.80797468407373 24.940638388934445
2458944 zg 8.745212855437764 21.974769801662145
2458956 zg 6.410673418463798 22.03539090328128
2458963 zg 3.1882388557568384 22.91913406872869
2458963 zg 3.372674538848083 18.112003387751543
2458966 zg 7.977848516457404 45.618612357206516
2458972 zg 5.484031325097983 17.786911514574197
2458986 zg 3.0201040908208276 21.138825033518927
2458992 zg 2.995172996345312 15.459298175656105
2458995 zg 3.317041081772558 27.169709055068772
2458998 zg 3.4258980438984303 15.459278773204158
2459012 zg 2.8365679267748183 17.238993803682664
2459018 zg 2.7950732123129236 17.49540543787177
2459024 zg 3.0228869908604477 16.740416540461368
2459027 zg 4.878001590841997 15.78644767600999
2459033 zg 7.03534704575083 15.008025890431943
2459039 zg 4.615746378456163 18.497093292481942
2459043 zg 4.18335393403522 17.88506726023956
2459199 zg 4.194928952238173 7.074435919307897
2459217 zg 13.944753498598505 -4.277018653425259
2459218 zg 6.594319318737379 12.868537768662428
2459225 zg 3.5863736078497324 13.228129509907532
2459227 zg 4.069345925409201 10.029383527920428
2459227 zg 3.573185228008444 11.473420060071591
2459231 zg 3.6824081629360843 7.534898851465716
2459250 zg 4.542690729422718 5.6517960053557275
2459252 zg 2.995172996345312 3.139736238145861
2459255 zg 4.07309565806627 1.9183141638043932
2459256 zg 3.081923905966241 6.026632768787021
2459265 zg 3.388242097196694 -1.299649100944376
2459269 zg 4.434347919933944 2.877496299056426
2459290 zg 2.7745540400517283 8.674011221542687
2459292 zg 3.0312510863915483 10.08442759276663
2459300 zg 12.17986510467889 24.575969892172296
2459305 zg 6.9135905128310124 4.640114097104228
2459306 zg 4.501043090480242 1.130220035643907
2459307 zg 4.171810854644095 3.450657363509199
2459308 zg 3.202955097672441 4.258588308864883
2459309 zg 2.932391227428851 2.339179663413613
2459316 zg 2.4697061388438675 5.610702734816716
2459319 zg 3.463972487945185 6.317675549506231
2459324 zg 3.8205089699419017 3.6526756158886746
2459328 zg 9.738048501637794 -0.8639657355599288
2459334 zg 3.451234220846973 6.110091394147908
2459336 zg 3.05085741980958 3.2299322647203494
2459338 zg 3.491849602179328 0.9263284387951147
2459340 zg 3.008998086743953 6.502962668735529
2459342 zg 2.815744133800927 -0.3264484918806194
2459344 zg 2.761806122202063 -0.24923549869155748
2459346 zg 3.173590228830999 6.975163168492058
2459348 zg 2.8733808167144046 2.808057482251288
2459356 zg 8.735705990622352 -4.657463756919904
2459362 zg 5.003405401842439 4.573688209465462
2459366 zg 3.185303731134301 1.3171075915530928
2459368 zg 3.0734199895190715 1.652014816334511
2459370 zg 3.3141673466424755 3.5738355062209775
2459374 zg 3.048048769912918 3.8567690112694493
2459376 zg 3.394489221840206 1.2752271275381197
2459378 zg 3.2177392666744256 0.06240628943838944
2459382 zg 7.646906599125047 8.109870199846164
2459387 zg 14.783998708340324 -2.33217990733591
2459391 zg 7.46021286164047 12.526064218036112
2459399 zg 3.996881051214836 3.1934724606837683
2459401 zg 3.679018101099978 6.721574160626012
2459405 zg 4.873510853721667 6.2676194494653865
2459407 zg 5.491153988106189 -5.917735508599032
2459409 zg 5.642868462860115 -7.7243170912803425
2459419 zg 11.388150012170845 -14.776261146934857
