jd filt fluxerr adjflux
2458206 zg 8.384978028428009 3.689777726625569
2458206 zg 7.5048918534499 10.10807555354617
2458210 zg 17.80458783998183 11.332538264983322
2458267 zg 9.09692499859767 -0.15384334648857756
2458270 zg 5.853289019904752 5.022308524114521
2458275 zg 2.5062430386039374 15.53909863345507
2458278 zg 3.344736582802715 25.049313436793618
2458284 zg 2.510863963614588 32.81505728167973
2458293 zg 6.751370098719807 61.54739212414865
2458472 zg 6.652607727535766 11.052193889226471
2458488 zg 2.5062430386039374 10.615926314514052
2458492 zg 3.3539912113712034 10.203047855392507
2458495 zg 2.5016306178166334 4.456163067627964
2458511 zg 4.1617111426695645 2.799603393212365
2458539 zg 7.5048918534499 -0.8780127134219624
2458560 zg 7.4704100075613615 -10.750619769530763
2458573 zg 2.513177620102486 1.9785103916410045
2458580 zg 2.5016306178166334 -2.3001034843453763
2458600 zg 2.513177620102486 3.0034142064895395
2458606 zg 5.821031761593795 10.78973190990083
2458609 zg 2.520131389054055 3.8077907415817354
2458617 zg 7.5048918534499 -2.2294608725988
2458634 zg 2.513177620102486 3.1229310142529574
2458637 zg 2.5062430386039374 2.41349134327401
2458640 zg 2.513177620102486 0.1858702128071501
2458643 zg 5.902010379814793 -3.3086579755453984
2458651 zg 10.1644334090553 2.6426214047715004
2458654 zg 7.4979827748440835 -3.699422003827854
2458658 zg 2.5085524371020362 2.0304726703889795
2458662 zg 3.3110208857518684 3.926624762764455
2458668 zg 3.3232416351161693 1.5198470961009103
2458676 zg 9.181097809257809 10.919935075608809
2458831 zg 5.815672861453296 1.203029928201054
2458854 zg 2.515493408528403 -1.2965462031918467
2458857 zg 2.5178113308568197 -1.165306109025299
2458872 zg 2.510863963614588 1.8975788978502885
2458881 zg 2.5016306178166334 -0.6755657152473898
2458887 zg 7.588299059761876 4.020267446085552
2458894 zg 3.326303863767883 3.372609643342491
2458898 zg 1.6754517467349905 -0.19000965633489045
2458955 zg 2.4901366691871205 1.0375225633672371
2458963 zg 2.5062430386039374 1.7879669983416138
2458963 zg 2.5178113308568197 -2.52956296900699
2458966 zg 6.652607727535766 -3.199980877721436
2458969 zg 3.3570817744757595 3.184322871683277
2458972 zg 5.821031761593795 9.336152567587929
2458980 zg 1.6692905107741471 -1.1730475593687866
2458986 zg 2.4970266856017385 -2.2717948138700637
2458992 zg 2.503935766161221 -1.5054656694178514
2458995 zg 2.5062430386039374 -0.6054118046269805
2458998 zg 2.4970266856017385 0.4430651624108486
2459014 zg 2.510863963614588 1.7928175326161033
2459017 zg 2.494727897825912 -0.2902475643978292
2459020 zg 2.513177620102486 5.5955005425535616
2459023 zg 2.5085524371020362 3.027538028861986
2459026 zg 5.0171048742040725 -4.107830606112309
2459033 zg 9.832935151531787 -4.833313065038727
2459185 zg 8.533003601622445 2.719971871865203
2459186 zg 7.532591890843763 -4.032751985630798
2459200 zg 3.378795602431965 0.7795566564468329
2459204 zg 2.492431226337127 -3.2259999951728284
2459217 zg 12.485133428008691 -10.28712259025664
2459218 zg 5.8640811135724675 0.20584840422990733
2459222 zg 4.157879829709854 5.094825460089876
2459253 zg 3.3478186181527843 0.236071343845681
2459255 zg 1.6723682914013576 -0.1304057858222783
2459264 zg 2.5016306178166334 -0.3814313619999857
2459268 zg 4.177071731006563 1.2058394134791155
2459270 zg 7.511807298483662 -16.453017436614292
2459291 zg 2.5016306178166334 -1.3945250732099075
2459293 zg 3.34165738480525 -4.37966254336676
2459298 zg 11.577904543669762 -0.7780997961840396
2459304 zg 8.331091972048982 -4.497222068150484
2459306 zg 4.1617111426695645 0.2481581388185257
2459307 zg 2.4970266856017385 -4.13200010360311
2459307 zg 2.5016306178166334 -3.5633732624601446
2459308 zg 4.131159217424247 9.68530145977896
2459309 zg 2.503935766161221 0.8942531193062249
2459309 zg 2.510863963614588 0.896808008031435
2459311 zg 2.5085524371020362 1.814348779064751
2459313 zg 3.3293689141356513 3.3682553356723037
2459317 zg 1.6754517467349905 0.9836796141623899
2459323 zg 3.326303863767883 1.3015277163951764
2459325 zg 4.1693843630277225 -2.500111631518447
2459334 zg 2.515493408528403 1.2914264312758994
2459336 zg 2.503935766161221 -0.5257897556495124
2459339 zg 2.5016306178166334 4.497274870356136
2459341 zg 1.6723682914013576 0.33221691578926177
2459343 zg 2.503935766161221 0.6928239936063751
2459345 zg 2.503935766161221 2.5343546651706403
2459348 zg 2.5271043985488486 -3.493364118496417
2459354 zg 4.157879829709854 0.556887017273233
2459362 zg 2.503935766161221 -0.6290733902908064
2459366 zg 2.503935766161221 5.52357654207852
2459370 zg 3.3601751854054065 -2.095536861980397
2459372 zg 5.068193403647948 -3.173542330926741
2459374 zg 2.5247779209292336 -0.5514794844236525
2459376 zg 3.344736582802715 7.3009431987851805
2459390 zg 7.4841836934777355 -6.951020143809052
2459394 zg 4.192489014214004 4.305055000886637
2459396 zg 5.858682581767372 -2.6730760541552736
2459636 zg 2.510863963614588 0.3796562176325241
2459641 zg 1.6631519318839414 -1.8928340884565626
2459672 zg 1.6769956056856017 -2.4816766285255762
2459678 zg 3.34165738480525 -0.5613788743103445
2459683 zg 10.071245323427279 -10.683021837619519
2459697 zg 2.5085524371020362 -2.2998758574140648
2459699 zg 2.4970266856017385 0.30720145088369094
2459702 zg 2.5062430386039374 -0.39244667475737577
2459715 zg 4.989455795651824 5.798000636637791
2459722 zg 3.3601751854054065 -1.618169806494305
2459722 zg 2.513177620102486 1.1292545262830183
2459724 zg 2.5085524371020362 -0.027598769275864625
2459726 zg 2.5085524371020362 3.287383297480036
2459730 zg 2.492431226337127 -0.7947820449597874
2459730 zg 2.5062430386039374 0.06088151303006674
2459734 zg 4.18477327269098 5.707480490234854
2459736 zg 4.200218981756758 -1.7132289763667725
2459741 zg 9.09692499859767 14.501672213775327
2459743 zg 10.108417594195394 -7.770158492687423
2459747 zg 7.422401422031742 -19.230978066246344
