jd filt fluxerr adjflux
2458207 zg 9.622848601829157 -12.434392383096736
2458207 zg 9.289021611435228 7.18367478203311
2458223 zg 3.4484978901683196 1.2253301352933945
2458233 zg 5.857511779669862 -4.22471898294757
2458246 zg 3.5353300491343203 -9.438157948060157
2458249 zg 3.9996492880853403 1.269959022915273
2458262 zg 6.1580319467291424 -6.227170809239837
2458267 zg 12.189890007228549 -0.19438403869664106
2458273 zg 3.486823502396757 -7.560011518247721
2458279 zg 3.50937650846898 -2.5257252175866514
2458282 zg 3.8370122700735325 4.268373849659639
2458294 zg 9.015803334789382 -9.054763533726087
2458300 zg 5.535089017439679 -3.829332899224417
2458303 zg 3.756584722828909 5.30542142405559
2458333 zg 5.1017740879732845 2.728860127329091
2458336 zg 4.574824455565973 -0.01216843457496569
2458488 zg 4.214546504413151 -3.322255189770494
2458488 zg 4.0441002381937725 -6.154817426703921
2458492 zg 4.441957858771191 4.183123236342298
2458493 zg 3.630723598560104 -0.5042033067164461
2458494 zg 3.313181908513683 -4.442413024907883
2458495 zg 3.394923282132231 2.2129689842800175
2458495 zg 3.705042448161758 -4.198908568663236
2458502 zg 12.904558962816507 18.31731108609744
2458502 zg 13.572649012911976 4.9100940204951975
2458508 zg 6.993586113985718 -8.74950128536112
2458508 zg 6.849607611611616 0.3971179558231864
2458539 zg 15.386896045271664 -4.234833682468228
2458544 zg 5.838813584330714 -5.746215763301952
2458560 zg 9.259860193655525 -9.10118180442572
2458568 zg 6.7618525010920365 12.166837095168669
2458582 zg 3.923032550398695 -5.4871283342634225
2458585 zg 4.058362630357883 2.15611302118031
2458588 zg 6.2931153623826805 0.4129486324743438
2458594 zg 11.520883516711821 -10.206294261361181
2458597 zg 4.141435008016748 1.2883992196382434
2458606 zg 3.568042055322428 -6.046320437630674
2458617 zg 6.5775732480265985 -4.291297089063116
2458628 zg 3.674457156882663 -0.8994627967579499
2458633 zg 3.753126373308848 0.9810078196318888
2458634 zg 3.8370122700735325 5.576578608701556
2458634 zg 3.7152940153149068 -3.0559637785807428
2458635 zg 3.373105809651896 -5.292327557501848
2458637 zg 3.650843260120302 0.1983959456923364
2458640 zg 3.9996492880853403 3.956119230652171
2458643 zg 4.780304151425177 -3.2038924409418943
2458649 zg 9.892445197083928 3.242726432613759
2458652 zg 6.55604517741005 2.123973286795432
2458667 zg 3.684624096890023 0.6166541017933638
2458670 zg 4.740842526647696 -2.5039189808932627
2458673 zg 5.535089017439679 2.67210059159128
2458677 zg 7.593878124224171 -4.544080512180899
2458680 zg 10.274729201279575 0.726486930631803
2458683 zg 5.2302352535951355 -0.6169869761178506
2458683 zg 4.417478394051528 -7.834945865225592
2458686 zg 4.210666550690228 -8.637194965017896
2458686 zg 4.206790168891572 5.933602204059228
2458692 zg 5.083138283962192 1.9648778322791167
2458853 zg 3.9886131027668075 1.6396891560936249
2458856 zg 4.160551003465364 2.549141188035605
2458874 zg 3.323762354450254 -5.16696656585592
2458877 zg 3.36070169186418 2.6123498042769056
2458896 zg 4.195182422172793 -7.112903063047975
2458900 zg 3.461226057659037 -6.149725406996969
2458914 zg 7.234744255847294 -1.141427281910723
2458937 zg 3.3329589489439715 -2.848155415191561
2458940 zg 4.548367313983403 -6.845696002754609
2458944 zg 7.441553746270683 0.4219773409033026
2458954 zg 4.277346509472597 -5.128942788218071
2458963 zg 3.614041938912745 6.509351992961208
2458969 zg 5.414079264741834 -0.34262607770944586
2458972 zg 5.587657334446931 -1.031826272133033
2458980 zg 3.252709523534335 -1.4959303888705273
2458986 zg 3.169897951815489 2.3732427002680794
2458992 zg 3.630723598560104 1.7659029840538916
2458995 zg 3.6374178022845327 3.3268670663510362
2458998 zg 3.711873678433739 -2.949286982740695
2459012 zg 3.164064158770928 -0.08633318751704122
2459018 zg 3.3329589489439715 3.897288657972955
2459024 zg 3.4263361205008875 3.5102687875648853
2459027 zg 5.108867152866927 4.226011177307677
2459032 zg 7.8605314066987155 4.016277261050996
2459036 zg 5.327472586809035 1.8821941948317127
2459040 zg 3.454856112377594 -3.9010202874300406
2459045 zg 4.107247276619372 -7.517539650679123
2459218 zg 8.409496095992033 3.0757380319317082
2459227 zg 4.025519285410676 -3.7290862815004457
2459227 zg 3.6575745597871023 8.615282438609482
2459229 zg 3.6240417146641515 9.071885213026551
2459230 zg 4.029228633645703 6.171583564725916
2459250 zg 4.863309676333158 6.3466113725966125
2459253 zg 3.461226057659037 10.555709660285448
2459255 zg 4.648704328188285 16.847518600421427
2459257 zg 3.708456490348968 10.8027891573573
2459264 zg 3.6073907554846225 7.873196992986531
2459268 zg 4.059026732806884 8.648308723173718
2459270 zg 7.423747356867478 12.50376014335566
2459272 zg 12.119148443505692 11.60572150039576
2459290 zg 3.1611512896165523 11.50403707646812
2459292 zg 3.5908163005132123 12.440340558079132
2459301 zg 13.424424871943843 30.983502027712547
2459305 zg 7.350213038259791 2.4895214299224886
2459305 zg 7.390944257453602 13.490581774610769
2459307 zg 4.368923437415052 17.129524751823663
2459311 zg 3.4074537094456154 12.520871768118445
2459313 zg 5.2230551284218265 8.783956551204914
2459321 zg 3.674457156882663 13.452204486315997
2459325 zg 5.249669039824353 7.829064510967466
2459329 zg 9.86657760075564 6.277113003972964
2459335 zg 3.9849411455962938 -0.5957520066689206
