jd filt fluxerr adjflux
2458207 zg 10.094619555114159 83.62966386776118
2458207 zg 9.577936055714684 95.89593978573599
2458230 zg 3.1970604671654503 97.3814237199927
2458243 zg 3.244699142715265 90.23805331585409
2458246 zg 3.141599725522319 95.2918402254744
2458267 zg 10.485201588134936 85.22834468025218
2458270 zg 5.982237112529464 93.49871674742374
2458273 zg 3.107068659417439 80.91668071495249
2458279 zg 3.1794415857170133 82.61889736021244
2458283 zg 2.9567997416680645 78.31354521144478
2458286 zg 3.5371667172313805 78.41076385258678
2458289 zg 4.898529108514075 71.90308021518099
2458293 zg 7.215821570941529 64.22860410293517
2458299 zg 5.872403229321131 63.76558399630866
2458302 zg 3.517673522875415 70.3125560190099
2458305 zg 4.59277613212639 59.85289246825501
2458472 zg 8.389857904476345 32.2150714953074
2458487 zg 3.2357460824685607 18.237090445423537
2458495 zg 2.7163966612287664 18.62261429526258
2458503 zg 8.690800098723786 26.124054706656498
2458511 zg 5.028749012338026 15.031554772702375
2458547 zg 3.356259481169285 8.037044767147952
2458561 zg 10.658349469906229 21.628556591936135
2458568 zg 3.8969479915592307 6.71080995538062
2458573 zg 3.4662152598724045 12.055092629204724
2458581 zg 3.8240294097162066 11.06238424879474
2458584 zg 4.282655794081142 6.868747701683425
2458587 zg 5.16012188800201 12.992323622073075
2458600 zg 3.09296092981504 -1.4585591303942937
2458617 zg 7.061314025695587 12.63075968155983
2458634 zg 3.2149515621684523 3.8012268744688456
2458637 zg 3.3633683575934654 12.5882970528895
2458640 zg 3.1185366352033386 8.72317286625064
2458643 zg 4.115567840680749 3.67194648545445
2458651 zg 10.405715152294214 34.93900978457911
2458654 zg 5.422794958983748 5.090211989611472
2458658 zg 3.1156656791431545 7.625850753244819
2458662 zg 3.951159938265592 3.444473695767649
2458667 zg 3.5339103661248696 10.159030814776397
2458672 zg 6.459582208669265 2.8098341608377835
2458676 zg 7.986402964976331 14.274040059011636
2458836 zg 9.356324430888895 -1.239377891601079
2458857 zg 3.6552848268281317 -7.932816029716943
2458873 zg 3.6552848268281317 -8.152197557132368
2458877 zg 3.1127973661138606 1.6161914241105801
2458894 zg 5.061275295051499 -1.1367022300885699
2458898 zg 2.7875451576694914 -8.280961915437741
2458937 zg 2.9617667300238346 -8.67072474660389
2458940 zg 23.982154546867466 -23.10208387427072
2458955 zg 3.002969009467255 -6.190342646633381
2458963 zg 3.144494578725292 2.786414126000661
2458963 zg 3.0419414474596844 -3.7633298461395306
2458966 zg 5.4860987767478875 -5.92125809825229
2458972 zg 6.106669691150083 -13.935667900196911
2458976 zg 10.737173131523917 10.036777078931143
2458980 zg 2.713895919256265 -1.7264127607025914
2458986 zg 3.008505780797229 -6.061231017282525
2458992 zg 3.0057361202436166 -6.27690926192235
2458995 zg 3.0729171434241245 -2.005141725286707
2458998 zg 3.4886349704628024 1.0734268904110256
2459014 zg 3.0587983716367546 -3.0187364969186823
2459017 zg 2.868282423374115 -3.75364573655224
