jd mag magerr filt field flux fluxerr adjflux
2458204 18.861 0.061 zg 425 103.66359095165373 5.824139436760853 -0.10704791780062806
2458207 18.873 0.092 zg 425 102.52416689239477 8.687398755576679 -1.246471977059585
2458207 18.897 0.098 zg 425 100.28275324175395 9.05165524979543 -3.4878856277004076
2458223 18.877 0.025 zg 425 102.14714882240665 2.3520250217031786 -1.62349004704771
2458229 18.877 0.03 zg 425 102.14714882240665 2.8224300260438144 -1.62349004704771
2458243 18.849 0.025 zg 425 104.81567824170179 2.413470182314029 1.0450393722474303
2458246 18.88 0.029 zg 425 101.86529539402682 2.720820723745566 -1.905343475427543
2458249 18.861 0.028 zg 425 103.66359095165373 2.673375479168916 -0.10704791780062806
2458267 18.787 0.095 zg 425 110.97527986008824 9.710140953673898 7.204640990633877
2458270 18.864 0.059 zg 425 103.37755322231203 5.617640466797505 -0.3930856471423283
2458274 18.919 0.021 zg 425 98.27119764958714 1.9007334761403316 -5.499441219867222
2458277 18.857 0.026 zg 425 104.04620610478565 2.4915825288584417 0.27556723533129457
2458280 18.838 0.024 zg 425 105.8830027243058 2.3405243872745713 2.112363854851438
2458283 18.859 0.026 zg 425 103.8547223274796 2.4869970888702206 0.08408345802524764
2458286 18.839 0.025 zg 425 105.78552577152277 2.4358017469604585 2.0148869020684117
2458293 18.835 0.073 zg 425 106.17597283949135 7.138792998995123 2.405333970036992
2458299 18.952 0.058 zg 425 95.32926595266105 5.092486923640963 -8.441372916793313
2458302 18.806 0.028 zg 425 109.05014538474559 2.8122890784995853 5.2795065152912315
2458305 18.832 0.039 zg 425 106.4697535804259 3.824428412204995 2.6991147109715428
2458338 18.845 0.048 zg 425 105.20254566943497 4.650966017346553 1.4319067999806094
2458472 18.829 0.036 zg 425 106.76434719004851 3.540009517963869 2.993708320594152
2458472 18.958 0.108 zg 425 94.80390990993526 9.430303811738431 -8.966728959519102
2458488 18.835 0.027 zg 425 106.17597283949135 2.6403754927790177 2.405333970036992
2458492 18.829 0.033 zg 425 106.76434719004851 3.245008724800214 2.993708320594152
2458495 18.865 0.026 zg 425 103.28238281143398 2.4732913403173287 -0.48825605802038297
2458502 18.752 0.073 zg 425 114.6109860330693 7.705925199646349 10.840347163614936
2458539 18.899 0.095 zg 425 100.09819561963344 8.758415296636056 -3.6724432498209154
2458543 18.869 0.027 zg 425 102.90257651003526 2.558972937989014 -0.868062359419099
2458547 18.795 0.026 zg 425 110.16058889809378 2.63800295025484 6.389950028639419
2458560 18.85 0.102 zg 425 104.71918387852683 9.83789313536729 0.9485450090724754
2458568 18.976 0.039 zg 425 93.2451493537315 3.3493962979761265 -10.525489515722853
2458581 18.839 0.029 zg 425 105.78552577152277 2.825530026474132 2.0148869020684117
2458584 18.905 0.039 zg 425 99.54655818270115 3.5757449665134935 -4.2240806867532115
2458587 18.827 0.07 zg 425 106.96119563394551 6.896043128675198 3.1905567644911486
2458597 18.81 0.03 zg 425 108.64912895524334 3.0020863763895727 4.878490085788982
2458600 18.812 0.027 zg 425 108.44917408526581 2.6969052772394924 4.678535215811451
2458606 18.86 0.026 zg 425 103.7591126299442 2.4847075344415974 -0.011526239510160963
2458617 18.841 0.064 zg 425 105.59084099811916 6.224176548837728 1.8202021286648034
2458634 18.813 0.025 zg 425 108.34933468942629 2.494835628916957 4.5786958199719265
2458634 18.906 0.026 zg 425 99.454914624226 2.381635399922879 -4.315724245228353
2458635 18.884 0.02 zg 425 101.4907002304438 1.8695277874251783 -2.2799386390105525
2458637 18.85 0.024 zg 425 104.71918387852683 2.314798384792304 0.9485450090724754
2458640 18.84 0.027 zg 425 105.68813855699833 2.628244069354443 1.917499687543966
2458643 18.839 0.035 zg 425 105.78552577152277 3.410122445744642 2.0148869020684117
2458649 18.848 0.1 zg 425 104.91226152041023 9.662776377967578 1.141622650955867
2458652 18.961 0.072 zg 425 94.54231859446558 6.269521923438055 -9.228320274988775
2458658 18.874 0.026 zg 425 102.42978211751914 2.4528742095772476 -1.3408567519352204
2458667 18.847 0.028 zg 425 105.00893379658413 2.7080704626215892 1.2382949271297718
2458679 18.952 0.088 zg 425 95.32926595266105 7.726531884144908 -8.441372916793313
2458683 18.722 0.046 zg 425 117.82196158634049 4.991829699718855 14.051322716886133
2458686 18.873 0.051 zg 425 102.52416689239477 4.815840614504463 -1.246471977059585
2458692 18.899 0.048 zg 425 100.09819561963344 4.425304570931902 -3.6724432498209154
2458831 18.972 0.089 zg 425 93.58931075863003 7.671705724664153 -10.181328110824325
2458872 18.867 0.033 zg 425 103.09230475351819 3.1334002144876227 -0.6783341159361669
2458882 18.874 0.025 zg 425 102.42978211751914 2.3585328938242767 -1.3408567519352204
2458884 18.831 0.054 zg 425 106.56786102061618 5.300241872651973 2.7972221511618187
2458887 18.874 0.072 zg 425 102.42978211751914 6.792574734213916 -1.3408567519352204
2458896 18.881 0.037 zg 425 101.77151718285111 3.468196159677982 -1.999121686603246
2458911 18.889 0.033 zg 425 101.02439282018368 3.0705478443621916 -2.746246049270681
2458915 19.018 0.068 zg 425 89.70698259955532 5.618376535696975 -14.063656269899042
2458937 18.892 0.023 zg 425 100.74563739925787 2.1341737063093746 -3.025001470196486
2458944 18.945 0.102 zg 425 95.94586197835982 9.013679270254089 -7.824776891094544
2458956 18.889 0.063 zg 425 101.02439282018368 5.861954975600548 -2.746246049270681
2458963 18.877 0.025 zg 425 102.14714882240665 2.3520250217031786 -1.62349004704771
2458963 18.817 0.03 zg 425 107.95089539177246 2.9827934700534593 4.180256522318103
2458966 18.888 0.078 zg 425 101.11748258739944 7.264346171061126 -2.6531562820549226
2458972 18.757 0.049 zg 425 114.08439638531719 5.148704997017082 10.313757515862832
2458986 18.85 0.025 zg 425 104.71918387852683 2.4112483174919834 0.9485450090724754
2458992 18.872 0.025 zg 425 102.61863863890684 2.3628814759328973 -1.1520002305475145
2458995 18.846 0.031 zg 425 105.10569515223159 3.0009836048941825 1.3350562827772308
2458998 18.85 0.026 zg 425 104.71918387852683 2.5076982501916625 0.9485450090724754
2459012 18.841 0.023 zg 425 105.59084099811916 2.2368134472385583 1.8202021286648034
2459018 18.888 0.025 zg 425 101.11748258739944 2.32831608046831 -2.6531562820549226
2459024 18.839 0.024 zg 425 105.78552577152277 2.33836967708204 2.0148869020684117
2459027 18.826 0.047 zg 425 107.05975591750443 4.634466923062265 3.2891170480500733
2459033 18.84 0.071 zg 425 105.68813855699833 6.911308478672794 1.917499687543966
2459039 18.743 0.039 zg 425 115.56498011762123 4.151131927659412 11.794341248166873
2459043 18.859 0.04 zg 425 103.8547223274796 3.8261493674926474 0.08408345802524764
2459217 19.189 0.19 zg 425 76.6348389243306 13.410826066048427 -27.135799945123765
2459218 18.851 0.06 zg 425 104.6227783490295 5.7816683955382935 0.8521394795751434
2459225 18.807 0.031 zg 425 108.94975272870873 3.11073934882955 5.179113859254372
2459227 18.895 0.038 zg 425 100.46765114489203 3.51629680098619 -3.3029877245623283
2459231 18.854 0.029 zg 425 104.33409394516458 2.7867623011464455 0.5634550757102232
2459250 18.852 0.04 zg 425 104.52646157142775 3.850897155804552 0.7558227019733863
2459252 18.843 0.024 zg 425 105.39651451722054 2.329770654536473 1.625875647766179
2459255 18.856 0.032 zg 425 104.14208034699185 3.0693888225327575 0.3714414775374877
2459256 18.908 0.025 zg 425 99.27188053353849 2.2858195227001157 -4.498758335915866
2459265 18.837 0.028 zg 425 105.98056949803814 2.7331279300998634 2.209930628583777
2459269 18.863 0.044 zg 425 103.47281132875717 4.193287170965758 -0.29782754069718465
2459290 18.855 0.024 zg 425 104.23804293331636 2.304162852298825 0.4674040638620056
2459292 18.833 0.027 zg 425 106.3717364589281 2.6452437266111666 2.6010975894737385
2459300 18.55 0.092 zg 425 138.04676980399552 11.697411181749112 34.27613093454116
2459305 18.733 0.062 zg 425 116.63428971310351 6.660297345268456 12.863650843649154
2459306 18.858 0.042 zg 425 103.95042012536662 4.02115875489111 0.17978125591226046
2459308 18.853 0.025 zg 425 104.43023346401633 2.40459498832132 0.6595945945619661
2459309 18.876 0.026 zg 425 102.24127316248119 2.448360007315679 -1.5293657069731665
2459316 18.856 0.02 zg 425 104.14208034699185 1.9183680140829733 0.3714414775374877
2459319 18.855 0.035 zg 425 104.23804293331636 3.360237492935787 0.4674040638620056
2459322 18.844 0.031 zg 425 105.29948543035296 3.006516715603243 1.5288465608986002
2459324 18.859 0.034 zg 425 103.8547223274796 3.2522269623687508 0.08408345802524764
2459328 18.773 0.089 zg 425 112.4155135752561 9.2149277737557 8.64487470580174
2459334 18.839 0.029 zg 425 105.78552577152277 2.825530026474132 2.0148869020684117
2459336 18.87 0.025 zg 425 102.80784336747523 2.3672380758081526 -0.9627955019791301
2459338 18.852 0.03 zg 425 104.52646157142775 2.888172866853414 0.7558227019733863
