jd mag magerr filt field flux fluxerr adjflux
2458207 19.495 0.176 zg 426 57.813098879227866 9.371618408000701 10.545816675177939
2458207 19.962 0.269 zg 426 37.603325056503465 9.316530475699507 -9.663957147546462
2458223 19.817 0.067 zg 426 42.97602552313516 2.652019613448832 -4.2912566809147705
2458233 19.578 0.108 zg 426 53.558234064896865 5.327527306964433 6.290951860846938
2458243 19.784 0.07 zg 426 44.302297475729446 2.8562746730840667 -2.9649847283204807
2458246 19.774 0.072 zg 426 44.71222158720761 2.9650664131589033 -2.5550606168423187
2458249 19.867 0.083 zg 426 41.04178575126203 3.137473174815619 -6.225496452787894
2458262 19.887 0.161 zg 426 40.292688739168405 5.974860982416311 -6.974593464881522
2458267 19.345 0.19 zg 426 66.37831884814307 11.615971288308236 19.11103664409314
2458273 19.759 0.065 zg 426 45.33423054885116 2.714034010067639 -1.933051655198767
2458279 19.796 0.066 zg 426 43.81534633733181 2.6634580716667835 -3.4519358667181166
2458282 19.681 0.06 zg 426 48.710910665042974 2.6918644023238234 1.4436284609930468
2458294 19.61 0.186 zg 426 52.00274262262232 8.908711052849627 4.735460418572394
2458300 19.657 0.11 zg 426 49.79964523375378 5.045388513071872 2.532363029703852
2458303 19.73 0.069 zg 426 46.56142345624011 2.9590412518262417 -0.7058587478098204
2458333 19.509 0.088 zg 426 57.07241486208423 4.625776027227766 9.805132658034303
2458336 19.692 0.081 zg 426 48.21989372950981 3.5973852349893742 0.9526115254598864
2458488 19.682 0.071 zg 426 48.66606691281885 3.1824403899102514 1.3987847087689218
2458488 19.528 0.071 zg 426 56.08235587254574 3.6674168637839495 8.815073668495813
2458493 19.672 0.064 zg 426 49.11636848576342 2.895222218171428 1.8490862817134897
2458494 19.715 0.059 zg 426 47.20915737838876 2.5653932079619928 -0.05812482566116728
2458495 19.623 0.055 zg 426 51.383803584740136 2.6029427634222464 4.116521380690209
2458495 19.703 0.072 zg 426 47.73382635512608 3.165442473510133 0.46654415107614966
2458502 19.864 0.315 zg 426 41.15534521207819 11.940224232176746 -6.111936991971739
2458502 20.414 0.52 zg 426 24.7985477757371 11.876959418753083 -22.46873442831283
2458508 19.891 0.206 zg 426 40.14451809605538 7.616740320112723 -7.1227641079945485
2458508 19.74 0.162 zg 426 46.13454576012216 6.88362088358722 -1.1327364439277687
2458539 19.796 0.438 zg 426 43.81534633733181 17.675676293788655 -3.4519358667181166
2458544 19.615 0.115 zg 426 51.76381172369544 5.482766736650452 4.496529519645513
2458568 19.829 0.17 zg 426 42.50365217582149 6.655042761053836 -4.763630028228434
2458582 19.685 0.068 zg 426 48.531783205801354 3.039560846853838 1.2645010017514267
